model,MAE,RMSE,R2,MAPE_%,P50_abs_err,P90_abs_err
sgd,7.892203149904325,12.135423111519549,0.2381896801021286,39.37165202252059,5.628747758120738,16.046453533685295
ridge,7.899902104107593,12.04244803100339,0.24981812468189413,39.89762493073493,5.692845957671079,16.08174223482501
sgd_blend,7.921695318960887,12.073560851136424,0.24593678351069637,40.76285004333614,5.713346462050254,16.076841194163816
ridge_blend,7.938479199520952,12.010300698490905,0.25381800191916204,41.25136151900512,5.772252937381296,16.094700868040604
baseline_point_hour_mean,9.087647140843785,13.11439898521877,0.1103200769991044,52.99220873770477,6.776203966005667,18.80952380952381
baseline_median,9.229442380170562,14.006065767829856,-0.014773992592946872,50.758204577611885,7.0,18.0
