weekday,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
4,22418,8.81501147822088,1.919501991586235,13.936419883264175,6.025392184568885,18.11716707087135,tail_30m,0.03889731465786422
4,22418,8.81501147822088,1.919501991586235,13.936419883264175,6.025392184568885,18.11716707087135,tail_45m,0.018110446962262466
2,18472,8.227972107260818,1.709690765284937,13.19138094872448,5.681047958035171,16.674801248572088,tail_30m,0.03204850584668688
2,18472,8.227972107260818,1.709690765284937,13.19138094872448,5.681047958035171,16.674801248572088,tail_45m,0.01250541359896059
1,20920,7.83153612921913,1.6775554455719293,12.201518610592366,5.444678815869647,16.12887329064309,tail_30m,0.026864244741873804
1,20920,7.83153612921913,1.6775554455719293,12.201518610592366,5.444678815869647,16.12887329064309,tail_45m,0.010516252390057362
0,19865,7.52055182493867,1.6761656433798495,11.228369547334715,5.345802624897388,15.64884987522052,tail_30m,0.023307324439969797
0,19865,7.52055182493867,1.6761656433798495,11.228369547334715,5.345802624897388,15.64884987522052,tail_45m,0.008557764913163856
5,26741,7.751394879789629,0.657111027176668,11.659905921323299,5.698620964494722,15.636378673908851,tail_30m,0.021764331924759732
5,26741,7.751394879789629,0.657111027176668,11.659905921323299,5.698620964494722,15.636378673908851,tail_45m,0.008152275531954677
3,17642,7.609756264732578,1.1393730201322605,11.357831989469107,5.539901255238554,15.445758947553255,tail_30m,0.0256206779276726
3,17642,7.609756264732578,1.1393730201322605,11.357831989469107,5.539901255238554,15.445758947553255,tail_45m,0.00957941276499263
6,24385,7.5030478600960215,0.24591514208968163,11.196014680533276,5.650709454469901,15.08179887700024,tail_30m,0.018166905884765223
6,24385,7.5030478600960215,0.24591514208968163,11.196014680533276,5.650709454469901,15.08179887700024,tail_45m,0.005905269632971089
