point_id,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
25,270,37.51223931265356,14.49140737830109,49.6680089619247,27.863265306122447,90.13,tail_30m,0.4740740740740741
25,270,37.51223931265356,14.49140737830109,49.6680089619247,27.863265306122447,90.13,tail_45m,0.3037037037037037
674,582,17.791129160153083,6.048989763118207,26.472336664611863,10.987179487179485,47.34548780487805,tail_30m,0.17869415807560138
674,582,17.791129160153083,6.048989763118207,26.472336664611863,10.987179487179485,47.34548780487805,tail_45m,0.10481099656357389
388,513,16.827500555110923,7.975627138887083,23.257184946300864,11.666666666666664,41.94273255813955,tail_30m,0.18128654970760233
388,513,16.827500555110923,7.975627138887083,23.257184946300864,11.666666666666664,41.94273255813955,tail_45m,0.08382066276803118
375,214,16.24560028923683,6.440870526342963,21.71509313805994,12.899999999999999,37.58382352941177,tail_30m,0.17757009345794392
375,214,16.24560028923683,6.440870526342963,21.71509313805994,12.899999999999999,37.58382352941177,tail_45m,0.0514018691588785
265,364,16.004801527709606,7.525004421825396,22.47911750701893,11.51388888888889,36.1148148148148,tail_30m,0.13186813186813187
265,364,16.004801527709606,7.525004421825396,22.47911750701893,11.51388888888889,36.1148148148148,tail_45m,0.057692307692307696
617,386,15.652026381840548,6.557741435422353,21.56207252715685,11.431746031746034,35.6578947368421,tail_30m,0.13730569948186527
617,386,15.652026381840548,6.557741435422353,21.56207252715685,11.431746031746034,35.6578947368421,tail_45m,0.06217616580310881
87,930,15.674577870924553,4.776343077322681,21.979183620804356,11.561111111111114,30.977360248447216,tail_30m,0.11182795698924732
87,930,15.674577870924553,4.776343077322681,21.979183620804356,11.561111111111114,30.977360248447216,tail_45m,0.05161290322580645
406,1771,16.375904303048344,-4.628475754855018,24.800013094835336,11.896907216494846,30.144144144144143,tail_30m,0.1005081874647092
406,1771,16.375904303048344,-4.628475754855018,24.800013094835336,11.896907216494846,30.144144144144143,tail_45m,0.06437041219649915
568,1449,15.369049185517447,-13.205387261979547,18.512746635949078,13.73170731707317,30.111603513832442,tail_30m,0.1028295376121463
568,1449,15.369049185517447,-13.205387261979547,18.512746635949078,13.73170731707317,30.111603513832442,tail_45m,0.00759144237405107
284,426,15.736678739093145,-4.654345655361486,20.383349448371593,13.072258064516129,29.82437275985663,tail_30m,0.09859154929577464
284,426,15.736678739093145,-4.654345655361486,20.383349448371593,13.072258064516129,29.82437275985663,tail_45m,0.03051643192488263
373,1747,15.3882894408086,-8.61342761967225,19.215697231325258,13.502145922746784,29.3473486196553,tail_30m,0.08815111619919863
373,1747,15.3882894408086,-8.61342761967225,19.215697231325258,13.502145922746784,29.3473486196553,tail_45m,0.01659988551803091
322,496,14.98968295309801,-0.6322699232642437,19.133235553198475,12.856620553359683,29.331818181818182,tail_30m,0.0967741935483871
322,496,14.98968295309801,-0.6322699232642437,19.133235553198475,12.856620553359683,29.331818181818182,tail_45m,0.028225806451612902
94,1032,12.98074422793556,6.008986831209472,20.27464791651366,8.450331125827816,28.303157894736835,tail_30m,0.0872093023255814
94,1032,12.98074422793556,6.008986831209472,20.27464791651366,8.450331125827816,28.303157894736835,tail_45m,0.04748062015503876
