items_unique_all_decile,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
7,13148,8.232049195757238,1.255501185878651,12.38561543621573,5.988781281521998,16.693488042030303,tail_30m,0.02829327654396106
7,13148,8.232049195757238,1.255501185878651,12.38561543621573,5.988781281521998,16.693488042030303,tail_45m,0.010571950106480073
5,15345,8.117905382678448,0.9068224901646059,12.226941347459627,5.857293453574936,16.57156144257258,tail_30m,0.026001955034213098
5,15345,8.117905382678448,0.9068224901646059,12.226941347459627,5.857293453574936,16.57156144257258,tail_45m,0.00997067448680352
6,9254,8.182935070639703,0.9638367556549353,12.405123915229174,5.9058360473254154,16.542830428601185,tail_30m,0.02723146747352496
6,9254,8.182935070639703,0.9638367556549353,12.405123915229174,5.9058360473254154,16.542830428601185,tail_45m,0.010698076507456236
4,18588,8.089847936731996,1.1312318676756148,12.659429084462428,5.720869975596537,16.16398780563684,tail_30m,0.028566817301484828
4,18588,8.089847936731996,1.1312318676756148,12.659429084462428,5.720869975596537,16.16398780563684,tail_45m,0.012481170647729719
3,37745,8.058389067266953,0.9533478271774151,12.476093563404863,5.79421202838385,16.042451911407312,tail_30m,0.02665253675983574
3,37745,8.058389067266953,0.9533478271774151,12.476093563404863,5.79421202838385,16.042451911407312,tail_45m,0.011047820903430918
2,22430,7.811915356029651,1.2502503467139383,12.010389771614374,5.587730439725767,15.976346943501797,tail_30m,0.026660722246990638
2,22430,7.811915356029651,1.2502503467139383,12.010389771614374,5.587730439725767,15.976346943501797,tail_45m,0.010209540793580026
1,16335,7.599891492090894,1.722586133519749,11.658838330683253,5.3251328414463615,15.773113670750586,tail_30m,0.025283134374043465
1,16335,7.599891492090894,1.722586133519749,11.658838330683253,5.3251328414463615,15.773113670750586,tail_45m,0.009978573614937251
0,17598,7.097063226691924,1.9399182820915326,10.951143226748222,4.950016378860059,14.769634751427832,tail_30m,0.022445732469598818
0,17598,7.097063226691924,1.9399182820915326,10.951143226748222,4.950016378860059,14.769634751427832,tail_45m,0.007159904534606206
