weekday,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
4,22418,8.814898789327398,1.4336673737679821,13.838497659728183,6.093774452850241,17.984372047820074,tail_30m,0.038228209474529394
4,22418,8.814898789327398,1.4336673737679821,13.838497659728183,6.093774452850241,17.984372047820074,tail_45m,0.01757516281559461
2,18472,8.22419578427917,1.3234884558067654,13.084935816333397,5.727533755563395,16.683865483892102,tail_30m,0.030424426158510178
2,18472,8.22419578427917,1.3234884558067654,13.084935816333397,5.727533755563395,16.683865483892102,tail_45m,0.011909917713295798
1,20920,7.806111487766724,1.2771093792868313,12.032883134384228,5.4852408807951605,16.167799058039744,tail_30m,0.025334608030592735
1,20920,7.806111487766724,1.2771093792868313,12.032883134384228,5.4852408807951605,16.167799058039744,tail_45m,0.00979923518164436
5,26741,7.775129749093946,0.2235489692148798,11.578784436513645,5.788587749187599,15.711299955831517,tail_30m,0.02097902097902098
5,26741,7.775129749093946,0.2235489692148798,11.578784436513645,5.788587749187599,15.711299955831517,tail_45m,0.007740922179424853
0,19865,7.49424778779676,1.3450321312463747,11.120897523266352,5.377413274782366,15.528074270073533,tail_30m,0.022149509187012334
0,19865,7.49424778779676,1.3450321312463747,11.120897523266352,5.377413274782366,15.528074270073533,tail_45m,0.008306065945129625
3,17642,7.614991008029988,0.7094168573189961,11.257917250176522,5.597712207876357,15.457567541211453,tail_30m,0.023920190454596986
3,17642,7.614991008029988,0.7094168573189961,11.257917250176522,5.597712207876357,15.457567541211453,tail_45m,0.008899217775762386
6,24385,7.566935659178318,-0.22398380796267156,11.19223493260332,5.728348871035884,15.196779746852489,tail_30m,0.017674800082017633
6,24385,7.566935659178318,-0.22398380796267156,11.19223493260332,5.728348871035884,15.196779746852489,tail_45m,0.005741234365388558
