model,MAE,P90_abs_err,tail_45m
sgd,7.892203149904325,16.046453533685295,0.010356081705363493
ridge,7.899902104107593,16.08174223482501,0.00989078920255512
sgd_blend,7.921695318960887,16.076841194163816,0.010056965096415254
ridge_blend,7.938479199520952,16.094700868040604,0.00967808405841415
baseline_point_hour_mean,9.087647140843785,18.80952380952381,0.009744554415958203
