hour,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
5,1961,9.697354681286864,5.015981217691321,15.151368316810078,6.200899560337874,22.001401125866984,tail_30m,0.05252422233554309
5,1961,9.697354681286864,5.015981217691321,15.151368316810078,6.200899560337874,22.001401125866984,tail_45m,0.022947475777664456
6,3329,9.51839081490803,2.4483186200979263,15.22778757469202,6.490677913060008,19.9773027528781,tail_30m,0.039951937518774405
6,3329,9.51839081490803,2.4483186200979263,15.22778757469202,6.490677913060008,19.9773027528781,tail_45m,0.018323820967257435
15,16770,8.858628144302896,1.2400390538008343,13.123146901352408,6.348423779389382,18.3060381765837,tail_30m,0.03577817531305903
15,16770,8.858628144302896,1.2400390538008343,13.123146901352408,6.348423779389382,18.3060381765837,tail_45m,0.013536076326774001
14,17585,8.744553483311716,1.514544902003506,13.31751538822658,6.250344547041006,17.762252351289288,tail_30m,0.03383565538811487
14,17585,8.744553483311716,1.514544902003506,13.31751538822658,6.250344547041006,17.762252351289288,tail_45m,0.01438726187091271
1,423,8.133647028606113,1.9953632817150957,11.19947518128271,5.983926890284774,17.51616597779154,tail_30m,0.02127659574468085
1,423,8.133647028606113,1.9953632817150957,11.19947518128271,5.983926890284774,17.51616597779154,tail_45m,0.0
13,16199,8.343381716171582,1.707432925395729,12.859585231776379,5.848898964427692,17.036817834227875,tail_30m,0.03012531637755417
13,16199,8.343381716171582,1.707432925395729,12.859585231776379,5.848898964427692,17.036817834227875,tail_45m,0.012531637755417002
7,5407,8.166732764402141,1.9177667390807844,12.888915964107964,5.598155444603872,16.858438464141024,tail_30m,0.03088588866284446
7,5407,8.166732764402141,1.9177667390807844,12.888915964107964,5.598155444603872,16.858438464141024,tail_45m,0.009432217495838727
16,14054,8.21385582017911,0.65462233167885,12.26639944779308,5.9973925071337435,16.65481347824495,tail_30m,0.025473174896826527
16,14054,8.21385582017911,0.65462233167885,12.26639944779308,5.9973925071337435,16.65481347824495,tail_45m,0.010103885014942365
4,1015,7.966275475967572,3.6563458018992336,14.24887598325314,5.053506203014521,15.802580486856382,tail_30m,0.035467980295566505
4,1015,7.966275475967572,3.6563458018992336,14.24887598325314,5.053506203014521,15.802580486856382,tail_45m,0.016748768472906402
8,7381,7.637681398019197,1.4560551922355638,11.722447256607104,5.465000277282439,15.36609972735614,tail_30m,0.02411597344533261
8,7381,7.637681398019197,1.4560551922355638,11.722447256607104,5.465000277282439,15.36609972735614,tail_45m,0.010296707763175721
17,10431,7.445458600943249,0.6903043961641885,10.814092621360869,5.577468057030316,15.283398316771704,tail_30m,0.01859840858978046
17,10431,7.445458600943249,0.6903043961641885,10.814092621360869,5.577468057030316,15.283398316771704,tail_45m,0.00546448087431694
12,13766,7.435864707667438,1.2819153402129522,11.247560328218583,5.39449259340854,14.952281830225692,tail_30m,0.023536248728752
12,13766,7.435864707667438,1.2819153402129522,11.247560328218583,5.39449259340854,14.952281830225692,tail_45m,0.007409559784977481
2,643,7.325279736828236,2.4606550610375644,12.505399907653075,5.033081610502421,14.068115574602057,tail_30m,0.026438569206842923
2,643,7.325279736828236,2.4606550610375644,12.505399907653075,5.033081610502421,14.068115574602057,tail_45m,0.015552099533437015
20,208,6.0240629002669746,-1.8818798355695645,8.644930034977321,3.897893250731107,14.05538261796803,tail_30m,0.009615384615384616
20,208,6.0240629002669746,-1.8818798355695645,8.644930034977321,3.897893250731107,14.05538261796803,tail_45m,0.0
9,9018,7.216895369510202,1.0152360164607825,11.975376049360063,5.062390776639676,14.021989349725352,tail_30m,0.02339764914615214
9,9018,7.216895369510202,1.0152360164607825,11.975376049360063,5.062390776639676,14.021989349725352,tail_45m,0.010201818585052118
11,11679,7.053181460817717,1.007454391060461,11.057017766360447,5.175948753984759,13.871674072262303,tail_30m,0.019522219368096585
11,11679,7.053181460817717,1.007454391060461,11.057017766360447,5.175948753984759,13.871674072262303,tail_45m,0.00830550560835688
10,10213,7.054512578277705,0.7671504011866987,11.15251200903859,5.077598333303516,13.692866344118606,tail_30m,0.02105160090081269
10,10213,7.054512578277705,0.7671504011866987,11.15251200903859,5.077598333303516,13.692866344118606,tail_45m,0.00949769901106433
18,6821,6.446819829616292,0.0855789440985231,9.064783522558455,4.986857259821505,13.263139258083825,tail_30m,0.008942970238967894
18,6821,6.446819829616292,0.0855789440985231,9.064783522558455,4.986857259821505,13.263139258083825,tail_45m,0.002345697111860431
3,776,6.742662079787292,2.1839855927692975,12.12530050540487,4.451140888771626,13.12025121678727,tail_30m,0.019329896907216496
3,776,6.742662079787292,2.1839855927692975,12.12530050540487,4.451140888771626,13.12025121678727,tail_45m,0.010309278350515464
19,2659,6.033714471759528,0.3989904377136605,8.74463950569448,4.539331009382844,12.452607674375297,tail_30m,0.010530274539300489
19,2659,6.033714471759528,0.3989904377136605,8.74463950569448,4.539331009382844,12.452607674375297,tail_45m,0.001504324934185784
