delivery_method,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
courier,120301,8.218729475179504,1.1636780810771972,12.635498671242823,5.848907476258486,16.695197822632885,tail_30m,0.029376314411351526
courier,120301,8.218729475179504,1.1636780810771972,12.635498671242823,5.848907476258486,16.695197822632885,tail_45m,0.01182866310338235
pickup,25946,6.751158772202481,1.4237129226039955,10.09001926127802,4.953478326279169,13.789562027755348,tail_30m,0.015223926616819549
pickup,25946,6.751158772202481,1.4237129226039955,10.09001926127802,4.953478326279169,13.789562027755348,tail_45m,0.004509365605488322
hall,4196,5.586219824576124,2.3217986434793607,8.556928261395555,4.0939697814011025,11.338175373771625,tail_30m,0.008817921830314586
hall,4196,5.586219824576124,2.3217986434793607,8.556928261395555,4.0939697814011025,11.338175373771625,tail_45m,0.004289799809342231
