delivery_method,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
courier,120301,9.16219413650228,-0.8935072948849796,13.415347573697472,6.69325153374233,19.181818181818183,tail_30m,0.03270130755355317
courier,120301,9.16219413650228,-0.8935072948849796,13.415347573697472,6.69325153374233,19.181818181818183,tail_45m,0.011138727026375509
hall,4196,9.415061354592503,-6.115680415413829,12.112116172250257,8.022181561376478,18.62118727915194,tail_30m,0.014061010486177312
hall,4196,9.415061354592503,-6.115680415413829,12.112116172250257,8.022181561376478,18.62118727915194,tail_45m,0.002621544327931363
pickup,25946,8.68905359403109,-3.185124560019693,11.792262569035335,7.0,17.512269938650306,tail_30m,0.018307253526555153
pickup,25946,8.68905359403109,-3.185124560019693,11.792262569035335,7.0,17.512269938650306,tail_45m,0.004432282432744932
