point_id,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
25,270,35.218265378705624,23.84647493249402,48.746255043939925,24.697839607840407,87.51927453407853,tail_30m,0.4222222222222222
25,270,35.218265378705624,23.84647493249402,48.746255043939925,24.697839607840407,87.51927453407853,tail_45m,0.27037037037037037
388,513,18.457745592963647,12.475153873742752,26.69903516128561,10.784618778220008,49.16354850643225,tail_30m,0.21832358674463936
388,513,18.457745592963647,12.475153873742752,26.69903516128561,10.784618778220008,49.16354850643225,tail_45m,0.12280701754385964
674,582,15.717355392505132,8.81090587404648,24.287739105183814,9.475199729345693,43.411814232731345,tail_30m,0.14776632302405499
674,582,15.717355392505132,8.81090587404648,24.287739105183814,9.475199729345693,43.411814232731345,tail_45m,0.0979381443298969
375,214,16.924307947063237,10.424690116943026,22.771921401093188,13.181951693195881,40.08189673606014,tail_30m,0.16355140186915887
375,214,16.924307947063237,10.424690116943026,22.771921401093188,13.181951693195881,40.08189673606014,tail_45m,0.07009345794392523
617,386,15.841564030174656,10.622444539655927,23.065681085094184,10.065510372420896,39.99524863218918,tail_30m,0.15544041450777202
617,386,15.841564030174656,10.622444539655927,23.065681085094184,10.065510372420896,39.99524863218918,tail_45m,0.07512953367875648
265,364,16.353263814635927,11.07707100687322,23.352513621689653,11.100389590460793,37.864219833607635,tail_30m,0.15934065934065933
265,364,16.353263814635927,11.07707100687322,23.352513621689653,11.100389590460793,37.864219833607635,tail_45m,0.07417582417582418
87,930,14.999057337429031,8.35464908483898,22.16919037181173,9.97597247220413,33.88654810182538,tail_30m,0.11935483870967742
87,930,14.999057337429031,8.35464908483898,22.16919037181173,9.97597247220413,33.88654810182538,tail_45m,0.05913978494623656
389,620,12.400265641096494,9.840747722158799,17.91560252397473,7.889858450638259,30.350140975198673,tail_30m,0.1032258064516129
389,620,12.400265641096494,9.840747722158799,17.91560252397473,7.889858450638259,30.350140975198673,tail_45m,0.043548387096774194
344,998,11.752954660580786,9.189943332062644,16.62909081786241,7.855384903488417,28.634584160168895,tail_30m,0.0841683366733467
344,998,11.752954660580786,9.189943332062644,16.62909081786241,7.855384903488417,28.634584160168895,tail_45m,0.02004008016032064
