items_unique_all_decile,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
7,13148,8.180904183467359,1.3046968158796934,12.31015111398143,5.912685445901641,16.66036062510802,tail_30m,0.02814116215393976
7,13148,8.180904183467359,1.3046968158796934,12.31015111398143,5.912685445901641,16.66036062510802,tail_45m,0.010267721326437482
5,15345,8.118435534957413,0.7364202349889408,12.189130381669912,5.919014209356483,16.572378681152458,tail_30m,0.025545780384490062
5,15345,8.118435534957413,0.7364202349889408,12.189130381669912,5.919014209356483,16.572378681152458,tail_45m,0.009840338872596938
6,9254,8.16194434656499,0.8591834645030078,12.341691488033808,5.91872044809643,16.561748739012888,tail_30m,0.02690728333693538
6,9254,8.16194434656499,0.8591834645030078,12.341691488033808,5.91872044809643,16.561748739012888,tail_45m,0.010157769613140263
4,18588,8.109659628077718,0.8480747188640056,12.602222788151202,5.7853959202384715,16.27903531306916,tail_30m,0.02754465246395524
4,18588,8.109659628077718,0.8480747188640056,12.602222788151202,5.7853959202384715,16.27903531306916,tail_45m,0.012481170647729719
3,37745,8.106501428137307,0.5432449988662512,12.427731397104678,5.887291069467675,16.174078456117428,tail_30m,0.025990197377136044
3,37745,8.106501428137307,0.5432449988662512,12.427731397104678,5.887291069467675,16.174078456117428,tail_45m,0.010835872300967015
2,22430,7.855054412172079,0.7722731504783832,11.943385630337898,5.668655384695176,16.097652386183714,tail_30m,0.025546143557735178
2,22430,7.855054412172079,0.7722731504783832,11.943385630337898,5.668655384695176,16.097652386183714,tail_45m,0.009719126170307624
1,16335,7.648024502847675,1.1306984357218244,11.580060959448852,5.45530126880249,15.791048326996803,tail_30m,0.024058769513314968
1,16335,7.648024502847675,1.1306984357218244,11.580060959448852,5.45530126880249,15.791048326996803,tail_45m,0.009733700642791552
0,17598,7.174193323581214,1.01360437171593,10.862877304911681,5.172827933126615,14.664403394402985,tail_30m,0.020570519377201956
0,17598,7.174193323581214,1.01360437171593,10.862877304911681,5.172827933126615,14.664403394402985,tail_45m,0.006534833503807251
