weekday,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
4,22418,8.912637106628718,1.3226088082126766,13.905393427064872,6.197219142004753,18.187036369738774,tail_30m,0.03773753234008386
4,22418,8.912637106628718,1.3226088082126766,13.905393427064872,6.197219142004753,18.187036369738774,tail_45m,0.01748594879114997
2,18472,8.26578891263356,1.4276775907722894,13.160687723866253,5.7875983823879755,16.60510642955537,tail_30m,0.0313988739714162
2,18472,8.26578891263356,1.4276775907722894,13.160687723866253,5.7875983823879755,16.60510642955537,tail_45m,0.012234733650931138
1,20920,7.825555173179035,1.4009576366354357,12.110333070113102,5.525337033147706,16.069377341018523,tail_30m,0.02609942638623327
1,20920,7.825555173179035,1.4009576366354357,12.110333070113102,5.525337033147706,16.069377341018523,tail_45m,0.010420650095602295
5,26741,7.7973348990080265,0.11166619616575446,11.582531256748238,5.813693931332779,15.778140278246905,tail_30m,0.0208668337010583
5,26741,7.7973348990080265,0.11166619616575446,11.582531256748238,5.813693931332779,15.778140278246905,tail_45m,0.00781571369806664
0,19865,7.539777125601112,1.1985288584033786,11.146703719934063,5.464701034122509,15.568507802565797,tail_30m,0.02250188774226026
0,19865,7.539777125601112,1.1985288584033786,11.146703719934063,5.464701034122509,15.568507802565797,tail_45m,0.008255726151522778
3,17642,7.60042104926858,0.9269899626236655,11.28627536407126,5.5481087691284365,15.368176244201411,tail_30m,0.024827117106903978
3,17642,7.60042104926858,0.9269899626236655,11.28627536407126,5.5481087691284365,15.368176244201411,tail_45m,0.009182632354608321
6,24385,7.512446582379395,-0.08921386499376238,11.137903365749763,5.683305864379889,15.042793060957756,tail_30m,0.017100676645478777
6,24385,7.512446582379395,-0.08921386499376238,11.137903365749763,5.683305864379889,15.042793060957756,tail_45m,0.005823251999179824
