point_id,hour,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_2,_abs
406,13,215,15.798798728322675,3.4518871831829028,26.46800649345412,9.674714041460948,42.16994233147219,tail_30m,0.12093023255813953
406,13,215,15.798798728322675,3.4518871831829028,26.46800649345412,9.674714041460948,42.16994233147219,tail_45m,0.09767441860465116
292,9,200,12.088917862989076,6.905475273454496,21.071616979398915,5.936144523330224,35.89242399971777,tail_30m,0.12
292,9,200,12.088917862989076,6.905475273454496,21.071616979398915,5.936144523330224,35.89242399971777,tail_45m,0.055
5,15,243,12.803900031291596,8.668347449737164,18.54857411418124,7.9395050124534094,31.7996087127252,tail_30m,0.11934156378600823
5,15,243,12.803900031291596,8.668347449737164,18.54857411418124,7.9395050124534094,31.7996087127252,tail_45m,0.0205761316872428
406,14,228,16.86648266294784,3.8320634640465383,30.295713266774765,10.002868717224967,31.728534476357723,tail_30m,0.11403508771929824
406,14,228,16.86648266294784,3.8320634640465383,30.295713266774765,10.002868717224967,31.728534476357723,tail_45m,0.07456140350877193
456,16,200,15.30378325490435,3.952614995478581,21.133285138319803,11.365366287378347,30.819699719273643,tail_30m,0.11
456,16,200,15.30378325490435,3.952614995478581,21.133285138319803,11.365366287378347,30.819699719273643,tail_45m,0.06
456,14,219,13.155512629937974,4.3138381131528885,18.519768697673026,9.988061638642577,28.96145042603042,tail_30m,0.1004566210045662
456,14,219,13.155512629937974,4.3138381131528885,18.519768697673026,9.988061638642577,28.96145042603042,tail_45m,0.0319634703196347
456,15,246,12.771732091027255,3.661708419091939,18.214490186867767,7.94974614142734,27.127358791805765,tail_30m,0.08130081300813008
456,15,246,12.771732091027255,3.661708419091939,18.214490186867767,7.94974614142734,27.127358791805765,tail_45m,0.04878048780487805
406,15,204,15.142083500221064,0.5229237947769164,23.164031120987243,11.30456411102467,26.765603145689813,tail_30m,0.08823529411764706
406,15,204,15.142083500221064,0.5229237947769164,23.164031120987243,11.30456411102467,26.765603145689813,tail_45m,0.05392156862745098
333,7,202,10.85000033762282,3.238423270978261,14.771396357771048,8.329061234368137,26.408525036922683,tail_30m,0.0594059405940594
333,7,202,10.85000033762282,3.238423270978261,14.771396357771048,8.329061234368137,26.408525036922683,tail_45m,0.009900990099009901
276,13,213,10.533878183511607,4.333366647532546,14.862055995011302,7.631892212460333,26.19583181024832,tail_30m,0.07511737089201878
276,13,213,10.533878183511607,4.333366647532546,14.862055995011302,7.631892212460333,26.19583181024832,tail_45m,0.014084507042253521
589,14,204,12.498648606425256,3.4653694207059167,18.18749195297343,9.431520877983484,25.9780396091847,tail_30m,0.08333333333333333
589,14,204,12.498648606425256,3.4653694207059167,18.18749195297343,9.431520877983484,25.9780396091847,tail_45m,0.049019607843137254
399,15,203,11.78127197374942,4.067687431967308,14.885324384016917,9.408352570092617,25.335742239341293,tail_30m,0.059113300492610835
399,15,203,11.78127197374942,4.067687431967308,14.885324384016917,9.408352570092617,25.335742239341293,tail_45m,0.0049261083743842365
62,17,269,10.696249542087076,6.134748691923525,14.759374513666794,7.596721651127304,25.213203942310418,tail_30m,0.06319702602230483
62,17,269,10.696249542087076,6.134748691923525,14.759374513666794,7.596721651127304,25.213203942310418,tail_45m,0.01486988847583643
5,14,249,11.485104559131502,8.132011255179076,16.48394892608383,8.62149796075505,24.957721100701498,tail_30m,0.0642570281124498
5,14,249,11.485104559131502,8.132011255179076,16.48394892608383,8.62149796075505,24.957721100701498,tail_45m,0.012048192771084338
448,14,296,13.141357708647755,-5.8754568997804535,16.083253989586883,12.225160761306366,24.629009036518024,tail_30m,0.04054054054054054
448,14,296,13.141357708647755,-5.8754568997804535,16.083253989586883,12.225160761306366,24.629009036518024,tail_45m,0.010135135135135136
440,14,212,10.650283619680762,6.539549740364454,14.650452396371007,7.404781671304578,24.60100864703341,tail_30m,0.0660377358490566
440,14,212,10.650283619680762,6.539549740364454,14.650452396371007,7.404781671304578,24.60100864703341,tail_45m,0.0047169811320754715
62,15,308,11.471558568664447,6.7557043492508555,16.353343159475514,7.808283147367023,24.158323367959536,tail_30m,0.07467532467532467
62,15,308,11.471558568664447,6.7557043492508555,16.353343159475514,7.808283147367023,24.158323367959536,tail_45m,0.02922077922077922
448,13,346,13.269220729336608,-1.6350367099063365,17.122493620260514,11.644091985834017,23.327634257460836,tail_30m,0.031791907514450865
448,13,346,13.269220729336608,-1.6350367099063365,17.122493620260514,11.644091985834017,23.327634257460836,tail_45m,0.017341040462427744
276,12,206,10.522502723946845,3.38033290550738,16.59130330641865,8.300996332221029,23.20647767370556,tail_30m,0.043689320388349516
276,12,206,10.522502723946845,3.38033290550738,16.59130330641865,8.300996332221029,23.20647767370556,tail_45m,0.009708737864077669
62,16,286,10.609669448485471,5.646028024605248,14.347357764319678,8.13637854724846,22.852613932936777,tail_30m,0.05944055944055944
62,16,286,10.609669448485471,5.646028024605248,14.347357764319678,8.13637854724846,22.852613932936777,tail_45m,0.013986013986013986
481,15,204,10.428902559150043,3.1504167814055037,15.10344066732115,8.171344623455884,21.779474808982147,tail_30m,0.05392156862745098
481,15,204,10.428902559150043,3.1504167814055037,15.10344066732115,8.171344623455884,21.779474808982147,tail_45m,0.04411764705882353
385,15,207,11.378863568846265,-3.263950809412458,13.824183714927676,10.033887035508364,21.742060930794906,tail_30m,0.01932367149758454
385,15,207,11.378863568846265,-3.263950809412458,13.824183714927676,10.033887035508364,21.742060930794906,tail_45m,0.0
370,15,353,12.430418041640928,-1.2933856255582306,17.18193960168133,10.1287075092512,21.47605805786147,tail_30m,0.0764872521246459
370,15,353,12.430418041640928,-1.2933856255582306,17.18193960168133,10.1287075092512,21.47605805786147,tail_45m,0.031161473087818695
347,13,225,12.145109529921243,-9.002157378164828,14.277320125069494,11.822907423165418,21.351359892584366,tail_30m,0.03111111111111111
347,13,225,12.145109529921243,-9.002157378164828,14.277320125069494,11.822907423165418,21.351359892584366,tail_45m,0.0
589,13,215,10.591069686749828,2.339315968101371,15.17140109430495,7.934886378541641,21.314931221058995,tail_30m,0.07441860465116279
589,13,215,10.591069686749828,2.339315968101371,15.17140109430495,7.934886378541641,21.314931221058995,tail_45m,0.018604651162790697
70,15,245,10.40845952383348,-8.002565765190738,12.770026815108647,9.061657137177733,20.918467282610663,tail_30m,0.00816326530612245
70,15,245,10.40845952383348,-8.002565765190738,12.770026815108647,9.061657137177733,20.918467282610663,tail_45m,0.0
