hour,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
6,3329,10.77911250616956,-1.4543091758398023,16.899405958913317,7.600000000000001,22.30948717948718,tail_30m,0.047161309702613396
6,3329,10.77911250616956,-1.4543091758398023,16.899405958913317,7.600000000000001,22.30948717948718,tail_45m,0.0207269450285371
5,1961,10.516533793629648,-0.0023327737887120902,16.265773594814945,7.285714285714285,22.147058823529413,tail_30m,0.051504334523202445
5,1961,10.516533793629648,-0.0023327737887120902,16.265773594814945,7.285714285714285,22.147058823529413,tail_45m,0.022947475777664456
15,16770,10.413330891061072,-2.4300331103638135,14.253169364773319,8.024944347616007,21.607469311953626,tail_30m,0.04025044722719141
15,16770,10.413330891061072,-2.4300331103638135,14.253169364773319,8.024944347616007,21.607469311953626,tail_45m,0.011866428145497912
14,17585,10.084642775841859,-1.7262784731740626,14.282654227462032,7.571428571428573,21.168049578240666,tail_30m,0.041683252772249074
14,17585,10.084642775841859,-1.7262784731740626,14.282654227462032,7.571428571428573,21.168049578240666,tail_45m,0.012908729030423657
16,14054,9.739603136172187,-2.818495543980522,13.518276952143548,7.429306150510341,20.509237536656904,tail_30m,0.03358474455670983
16,14054,9.739603136172187,-2.818495543980522,13.518276952143548,7.429306150510341,20.509237536656904,tail_45m,0.008396186139177458
13,16199,9.562686981021002,-1.0969710483792028,13.854936935868222,6.989999999999998,20.102773061686477,tail_30m,0.03407617754182357
13,16199,9.562686981021002,-1.0969710483792028,13.854936935868222,6.989999999999998,20.102773061686477,tail_45m,0.010988332613124267
7,5407,9.181839255308162,-1.2550593246107526,13.533696448431126,6.72972972972973,19.534591194968552,tail_30m,0.029406325134085445
7,5407,9.181839255308162,-1.2550593246107526,13.533696448431126,6.72972972972973,19.534591194968552,tail_45m,0.008877381172554096
1,423,8.817519236474283,-1.0212724180734642,11.600702516341995,7.216216216216218,18.389720234222512,tail_30m,0.014184397163120567
1,423,8.817519236474283,-1.0212724180734642,11.600702516341995,7.216216216216218,18.389720234222512,tail_45m,0.002364066193853428
17,10431,8.772793913532945,-2.1424763778107883,12.051526627936228,6.743749999999999,18.3768115942029,tail_30m,0.0210909788131531
17,10431,8.772793913532945,-2.1424763778107883,12.051526627936228,6.743749999999999,18.3768115942029,tail_45m,0.004697536190202281
4,1015,8.610139706102961,0.8867151129863993,13.983338413074465,5.751269035532996,17.700217582620905,tail_30m,0.03940886699507389
4,1015,8.610139706102961,0.8867151129863993,13.983338413074465,5.751269035532996,17.700217582620905,tail_45m,0.016748768472906402
8,7381,8.586175764809116,-0.47692090547726085,12.584974764391204,6.297297297297298,17.53846153846154,tail_30m,0.02790949735808156
8,7381,8.586175764809116,-0.47692090547726085,12.584974764391204,6.297297297297298,17.53846153846154,tail_45m,0.010567673756943504
12,13766,8.526028635648432,-1.0253710532654317,12.134118802489146,6.511655011655011,17.5028638028638,tail_30m,0.02491646084556153
12,13766,8.526028635648432,-1.0253710532654317,12.134118802489146,6.511655011655011,17.5028638028638,tail_45m,0.007627488013947407
20,208,7.015928444462785,-2.3410718160971897,10.446228777507892,4.918350872996891,16.61075110456554,tail_30m,0.03365384615384615
20,208,7.015928444462785,-2.3410718160971897,10.446228777507892,4.918350872996891,16.61075110456554,tail_45m,0.0
9,9018,8.223357836551287,-0.49634640897753335,12.654142085987813,6.129999999999999,16.21357924040565,tail_30m,0.023730317143490796
9,9018,8.223357836551287,-0.49634640897753335,12.654142085987813,6.129999999999999,16.21357924040565,tail_45m,0.009869150587713461
3,776,7.943886177173288,0.7782064004596535,12.804861926960546,5.539930049548236,16.04658417385879,tail_30m,0.02190721649484536
3,776,7.943886177173288,0.7782064004596535,12.804861926960546,5.539930049548236,16.04658417385879,tail_45m,0.01288659793814433
10,10213,8.042203723848923,-0.761789210208885,12.023177374301156,6.055555555555557,15.74983713355049,tail_30m,0.022128659551551945
10,10213,8.042203723848923,-0.761789210208885,12.023177374301156,6.055555555555557,15.74983713355049,tail_45m,0.00988935670224224
11,11679,8.003348157383794,-0.7055394305431778,11.840230676406037,6.107142857142858,15.681199087650718,tail_30m,0.019864714444729856
11,11679,8.003348157383794,-0.7055394305431778,11.840230676406037,6.107142857142858,15.681199087650718,tail_45m,0.008219881839198561
18,6821,7.511170179158468,-2.117528215126906,10.167336853779958,6.0,15.568421052631578,tail_30m,0.008942970238967894
18,6821,7.511170179158468,-2.117528215126906,10.167336853779958,6.0,15.568421052631578,tail_45m,0.002638909250842985
2,643,7.998640773188378,0.9203146023739561,13.079091091371287,5.596491228070175,14.83300295600766,tail_30m,0.026438569206842923
2,643,7.998640773188378,0.9203146023739561,13.079091091371287,5.596491228070175,14.83300295600766,tail_45m,0.017107309486780714
19,2659,6.738849395676838,-0.7295460057448239,9.488338493436286,5.076923076923077,14.322307364836101,tail_30m,0.010530274539300489
19,2659,6.738849395676838,-0.7295460057448239,9.488338493436286,5.076923076923077,14.322307364836101,tail_45m,0.0022564874012786762
