delivery_method,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
courier,120301,8.236804573489168,0.8551002746828706,12.573114684338307,5.9079906478313795,16.694025415785166,tail_30m,0.028520128677234604
courier,120301,8.236804573489168,0.8551002746828706,12.573114684338307,5.9079906478313795,16.694025415785166,tail_45m,0.011521101237728697
pickup,25946,6.828478011182409,0.7323873002104426,10.034107471117087,5.159341095199839,13.757814920221916,tail_30m,0.014144762198412087
pickup,25946,6.828478011182409,0.7323873002104426,10.034107471117087,5.159341095199839,13.757814920221916,tail_45m,0.004316657673629847
hall,4196,5.647304908716255,1.056176784645383,8.45992933557841,4.159961084067858,11.463761227877354,tail_30m,0.008102955195424213
hall,4196,5.647304908716255,1.056176784645383,8.45992933557841,4.159961084067858,11.463761227877354,tail_45m,0.003574833174451859
