items_qty_total_all_decile,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
9,13960,8.980697563412667,2.0683059023659043,14.261649991753751,6.250354260513577,18.56383726220283,tail_30m,0.03681948424068768
9,13960,8.980697563412667,2.0683059023659043,14.261649991753751,6.250354260513577,18.56383726220283,tail_45m,0.014756446991404012
8,11589,8.347321955885475,0.8268957969629566,12.382294514866498,5.979352741175777,16.951833567205302,tail_30m,0.029338165501768917
8,11589,8.347321955885475,0.8268957969629566,12.382294514866498,5.979352741175777,16.951833567205302,tail_45m,0.01121753386832341
7,16803,8.25386590528846,0.7148816721185332,12.559687010165279,5.9295150561160845,16.619540925284365,tail_30m,0.02785216925549009
7,16803,8.25386590528846,0.7148816721185332,12.559687010165279,5.9295150561160845,16.619540925284365,tail_45m,0.011724096887460572
6,12564,8.206086350246398,0.7134983830864071,12.481909534870603,5.969239935833793,16.55231789877563,tail_30m,0.026981852913085004
6,12564,8.206086350246398,0.7134983830864071,12.481909534870603,5.969239935833793,16.55231789877563,tail_45m,0.011620503024514485
5,12914,7.994900609718127,0.45364842118334875,12.0221501769251,5.886088150617653,16.022157289629227,tail_30m,0.023462908471426357
5,12914,7.994900609718127,0.45364842118334875,12.0221501769251,5.886088150617653,16.022157289629227,tail_45m,0.009679417686231996
4,15140,7.877666779129296,0.3793956233260784,11.69479173919039,5.87282536692164,15.8839202116111,tail_30m,0.02272126816380449
4,15140,7.877666779129296,0.3793956233260784,11.69479173919039,5.87282536692164,15.8839202116111,tail_45m,0.008982826948480845
3,15327,7.814199572595589,0.6073268608271422,11.915343890997397,5.6655316818317445,15.854623347634046,tail_30m,0.025706269981079142
3,15327,7.814199572595589,0.6073268608271422,11.915343890997397,5.6655316818317445,15.854623347634046,tail_45m,0.009395184967704051
1,13647,7.58533586632334,1.1266016597497097,11.661086956937075,5.440021791167144,15.530675863823785,tail_30m,0.024034586355975673
1,13647,7.58533586632334,1.1266016597497097,11.661086956937075,5.440021791167144,15.530675863823785,tail_45m,0.009892284018465597
2,16328,7.655189867043228,0.5178042934383262,11.584716892996546,5.596723060050863,15.351005386115,tail_30m,0.02278294953454189
2,16328,7.655189867043228,0.5178042934383262,11.584716892996546,5.596723060050863,15.351005386115,tail_45m,0.009002939735423812
0,22171,7.084556490527758,0.9981622397022085,10.71540681162373,5.134778248404638,14.438327393366901,tail_30m,0.01939470479455144
0,22171,7.084556490527758,0.9981622397022085,10.71540681162373,5.134778248404638,14.438327393366901,tail_45m,0.006630282801858283
