weekday,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
4,22418,10.716802702849703,-2.0597858975708228,15.48709449409277,7.7407407407407405,23.365969279661,tail_30m,0.05129806405566955
4,22418,10.716802702849703,-2.0597858975708228,15.48709449409277,7.7407407407407405,23.365969279661,tail_45m,0.01610313141225801
5,26741,9.23834830346,-2.979187846229425,12.954017343799368,7.10928961748634,19.076923076923077,tail_30m,0.026401406080550464
5,26741,9.23834830346,-2.979187846229425,12.954017343799368,7.10928961748634,19.076923076923077,tail_45m,0.007292173067574137
2,18472,9.26642654139036,-0.17039706479938066,14.037187710555068,6.765650783828383,18.849490740740748,tail_30m,0.03307708964919879
2,18472,9.26642654139036,-0.17039706479938066,14.037187710555068,6.765650783828383,18.849490740740748,tail_45m,0.0129926375054136
0,19865,8.80038066927799,-1.5080795897966228,12.301749903620417,6.642857142857142,18.16452620223699,tail_30m,0.02552227535867103
0,19865,8.80038066927799,-1.5080795897966228,12.301749903620417,6.642857142857142,18.16452620223699,tail_45m,0.007601308834633778
1,20920,8.612335018757118,-0.16642994733802882,12.617358082715624,6.445783132530121,17.650087226206647,tail_30m,0.026577437858508603
1,20920,8.612335018757118,-0.16642994733802882,12.617358082715624,6.445783132530121,17.650087226206647,tail_45m,0.00994263862332696
6,24385,8.457207976726764,-1.9882782384666131,11.991264968775369,6.550000000000001,17.195897008979028,tail_30m,0.019643223293007998
6,24385,8.457207976726764,-1.9882782384666131,11.991264968775369,6.550000000000001,17.195897008979028,tail_45m,0.006069304900553619
3,17642,8.360326814533618,-0.2765140299250404,11.968873514562128,6.225988700564972,17.114699133095357,tail_30m,0.02601745833805691
3,17642,8.360326814533618,-0.2765140299250404,11.968873514562128,6.225988700564972,17.114699133095357,tail_45m,0.009239315270377508
