point_id,hour,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_2,_abs
406,13,215,15.682779109369353,4.330004739978422,26.81257502044443,8.814451882596273,43.49263979952887,tail_30m,0.12093023255813953
406,13,215,15.682779109369353,4.330004739978422,26.81257502044443,8.814451882596273,43.49263979952887,tail_45m,0.09767441860465116
292,9,200,12.235888322708911,7.615903162527264,21.53750841823667,5.584913730131902,36.03852103208093,tail_30m,0.12
292,9,200,12.235888322708911,7.615903162527264,21.53750841823667,5.584913730131902,36.03852103208093,tail_45m,0.06
406,14,228,16.684265772788034,4.949493881872344,30.483180675892317,9.782412227310276,32.433248524779415,tail_30m,0.11403508771929824
406,14,228,16.684265772788034,4.949493881872344,30.483180675892317,9.782412227310276,32.433248524779415,tail_45m,0.07456140350877193
5,15,243,12.982092992471378,9.208260957508072,18.860240224979183,7.840524489978083,32.42247932097278,tail_30m,0.12345679012345678
5,15,243,12.982092992471378,9.208260957508072,18.860240224979183,7.840524489978083,32.42247932097278,tail_45m,0.024691358024691357
456,16,200,15.296316824652365,4.387104201737796,21.257106283663596,11.364733606131924,31.552402621668378,tail_30m,0.115
456,16,200,15.296316824652365,4.387104201737796,21.257106283663596,11.364733606131924,31.552402621668378,tail_45m,0.065
456,14,219,13.303447360672328,4.569012299413306,18.70825372924744,9.892909655606552,29.231197034938223,tail_30m,0.1004566210045662
456,14,219,13.303447360672328,4.569012299413306,18.70825372924744,9.892909655606552,29.231197034938223,tail_45m,0.0365296803652968
406,15,204,15.050609003378634,1.5946249789304625,23.410065121345827,10.846033487308734,27.93924778216479,tail_30m,0.08823529411764706
406,15,204,15.050609003378634,1.5946249789304625,23.410065121345827,10.846033487308734,27.93924778216479,tail_45m,0.05392156862745098
456,15,246,12.739520446148584,4.194080874687385,18.35961547074776,8.029815089587196,27.898413095413737,tail_30m,0.08536585365853659
456,15,246,12.739520446148584,4.194080874687385,18.35961547074776,8.029815089587196,27.898413095413737,tail_45m,0.044715447154471545
333,7,202,10.743026072323454,3.6629869572896405,14.845060249879344,7.802359312831657,26.496468981789796,tail_30m,0.06930693069306931
333,7,202,10.743026072323454,3.6629869572896405,14.845060249879344,7.802359312831657,26.496468981789796,tail_45m,0.009900990099009901
589,14,204,12.464987115243302,4.32068999013169,18.413544350789685,8.564845887044415,26.1969447306876,tail_30m,0.09313725490196079
589,14,204,12.464987115243302,4.32068999013169,18.413544350789685,8.564845887044415,26.1969447306876,tail_45m,0.049019607843137254
62,17,269,10.837620373730434,6.512735749198887,14.906890659315701,7.72490128890794,25.78588589286449,tail_30m,0.06319702602230483
62,17,269,10.837620373730434,6.512735749198887,14.906890659315701,7.72490128890794,25.78588589286449,tail_45m,0.01486988847583643
276,13,213,10.52607730447665,4.489675138053184,14.889192015813704,7.464297491894573,25.604931922511696,tail_30m,0.07511737089201878
276,13,213,10.52607730447665,4.489675138053184,14.889192015813704,7.464297491894573,25.604931922511696,tail_45m,0.014084507042253521
399,15,203,12.065427116581118,4.590675159585326,15.330196229150971,10.020564251448562,25.58670524609255,tail_30m,0.06403940886699508
399,15,203,12.065427116581118,4.590675159585326,15.330196229150971,10.020564251448562,25.58670524609255,tail_45m,0.0049261083743842365
62,15,308,11.726949852490458,7.268271466052694,16.737875735718607,8.298597047392482,25.32012551105037,tail_30m,0.08116883116883117
62,15,308,11.726949852490458,7.268271466052694,16.737875735718607,8.298597047392482,25.32012551105037,tail_45m,0.02922077922077922
5,14,249,11.736915546922047,8.572687802257848,16.766981654967662,9.109576725814176,25.125298254663612,tail_30m,0.0642570281124498
5,14,249,11.736915546922047,8.572687802257848,16.766981654967662,9.109576725814176,25.125298254663612,tail_45m,0.012048192771084338
440,14,212,10.668761437867511,6.671923520953297,14.679623706339951,7.79812405497151,24.814499301403547,tail_30m,0.07075471698113207
440,14,212,10.668761437867511,6.671923520953297,14.679623706339951,7.79812405497151,24.814499301403547,tail_45m,0.0047169811320754715
448,14,296,12.564202137057237,-4.783386558175645,15.65111875441357,11.242449758141415,24.294748449606985,tail_30m,0.04054054054054054
448,14,296,12.564202137057237,-4.783386558175645,15.65111875441357,11.242449758141415,24.294748449606985,tail_45m,0.010135135135135136
62,16,286,10.856538287481458,6.259103638845181,14.702685121253309,8.192427238531748,23.64814300457916,tail_30m,0.06293706293706294
62,16,286,10.856538287481458,6.259103638845181,14.702685121253309,8.192427238531748,23.64814300457916,tail_45m,0.013986013986013986
448,13,346,12.898748149689782,-0.7083336898674514,16.91369856553533,11.276759247978617,23.52741853191136,tail_30m,0.03757225433526012
448,13,346,12.898748149689782,-0.7083336898674514,16.91369856553533,11.276759247978617,23.52741853191136,tail_45m,0.014450867052023121
276,12,206,10.554857268915965,3.504645159403349,16.637851435850283,8.034505156895206,23.479754959937726,tail_30m,0.04854368932038835
276,12,206,10.554857268915965,3.504645159403349,16.637851435850283,8.034505156895206,23.479754959937726,tail_45m,0.0048543689320388345
385,15,207,11.13397110114174,-2.773254381128589,13.648133324788336,9.875394761036098,22.303178367774034,tail_30m,0.024154589371980676
385,15,207,11.13397110114174,-2.773254381128589,13.648133324788336,9.875394761036098,22.303178367774034,tail_45m,0.0
481,15,204,10.562593769191897,3.6610785805098907,15.304933460981339,7.603906908643372,22.28366665179054,tail_30m,0.058823529411764705
481,15,204,10.562593769191897,3.6610785805098907,15.304933460981339,7.603906908643372,22.28366665179054,tail_45m,0.04411764705882353
589,13,215,10.516595767646823,3.27413047012835,15.335424722047344,7.499532174540672,21.855603899253506,tail_30m,0.07441860465116279
589,13,215,10.516595767646823,3.27413047012835,15.335424722047344,7.499532174540672,21.855603899253506,tail_45m,0.023255813953488372
370,15,353,12.067104542230629,-0.7035035628099362,16.9730145748009,9.534417336422095,21.659237992109144,tail_30m,0.0764872521246459
370,15,353,12.067104542230629,-0.7035035628099362,16.9730145748009,9.534417336422095,21.659237992109144,tail_45m,0.028328611898016998
347,13,225,11.565061526901955,-8.00604829615401,13.921209055104345,10.800418369976207,21.34729755685836,tail_30m,0.03111111111111111
347,13,225,11.565061526901955,-8.00604829615401,13.921209055104345,10.800418369976207,21.34729755685836,tail_45m,0.0
5,13,209,8.916281841235664,5.819944622751904,12.234466545593884,6.167926882506816,20.717063771880373,tail_30m,0.023923444976076555
5,13,209,8.916281841235664,5.819944622751904,12.234466545593884,6.167926882506816,20.717063771880373,tail_45m,0.004784688995215311
5,16,215,9.213469401809636,4.42497993800902,12.844533672015363,6.272183860341126,20.624100050291226,tail_30m,0.03255813953488372
5,16,215,9.213469401809636,4.42497993800902,12.844533672015363,6.272183860341126,20.624100050291226,tail_45m,0.004651162790697674
456,17,200,10.934397747897249,2.7807666420165544,14.71141194429998,8.662403648081373,20.272132535478935,tail_30m,0.04
456,17,200,10.934397747897249,2.7807666420165544,14.71141194429998,8.662403648081373,20.272132535478935,tail_45m,0.015
276,14,260,9.186122865866952,3.1724327096722726,12.308468051404068,6.837915160316882,20.27167868851814,tail_30m,0.026923076923076925
276,14,260,9.186122865866952,3.1724327096722726,12.308468051404068,6.837915160316882,20.27167868851814,tail_45m,0.007692307692307693
385,14,216,9.128769392175716,0.2702090071136402,11.81050836991897,6.975115124972838,20.116336414286273,tail_30m,0.013888888888888888
385,14,216,9.128769392175716,0.2702090071136402,11.81050836991897,6.975115124972838,20.116336414286273,tail_45m,0.0
448,15,221,11.058840527475205,-5.43283699906569,13.355965020982376,10.488189326420766,20.08417724126239,tail_30m,0.02262443438914027
448,15,221,11.058840527475205,-5.43283699906569,13.355965020982376,10.488189326420766,20.08417724126239,tail_45m,0.0
370,14,313,9.902434483094485,1.8675652946997314,14.40807297551051,6.807290230470219,19.98303700360713,tail_30m,0.05750798722044728
370,14,313,9.902434483094485,1.8675652946997314,14.40807297551051,6.807290230470219,19.98303700360713,tail_45m,0.025559105431309903
70,15,245,9.9040884569384,-7.159008060725583,12.233618229932759,9.40930500654872,19.75328826096944,tail_30m,0.00816326530612245
70,15,245,9.9040884569384,-7.159008060725583,12.233618229932759,9.40930500654872,19.75328826096944,tail_45m,0.0
408,13,250,8.25282696822593,4.60738663417564,11.7274678841191,5.47760753584507,19.5274134900088,tail_30m,0.028
408,13,250,8.25282696822593,4.60738663417564,11.7274678841191,5.47760753584507,19.5274134900088,tail_45m,0.008
370,16,296,9.939458842599482,-5.942624715266258,12.150227254231817,9.20518144708957,19.514972575897936,tail_30m,0.013513513513513514
370,16,296,9.939458842599482,-5.942624715266258,12.150227254231817,9.20518144708957,19.514972575897936,tail_45m,0.0
448,12,236,10.521284139602102,-2.557245927085894,12.510218056622309,9.690663834352078,19.143340538191513,tail_30m,0.00423728813559322
448,12,236,10.521284139602102,-2.557245927085894,12.510218056622309,9.690663834352078,19.143340538191513,tail_45m,0.0
640,10,230,10.00484380649844,-0.144523101725529,12.728275694420459,8.566071360852042,19.00555755035255,tail_30m,0.0391304347826087
640,10,230,10.00484380649844,-0.144523101725529,12.728275694420459,8.566071360852042,19.00555755035255,tail_45m,0.0
292,8,206,10.669552189503518,4.664110029465402,20.582339956854142,6.192414553176436,18.907510058904336,tail_30m,0.06310679611650485
292,8,206,10.669552189503518,4.664110029465402,20.582339956854142,6.192414553176436,18.907510058904336,tail_45m,0.04854368932038835
70,14,203,9.238862630142496,-3.5293578915654753,11.678789064677886,7.392613430485078,18.812647802720154,tail_30m,0.0049261083743842365
70,14,203,9.238862630142496,-3.5293578915654753,11.678789064677886,7.392613430485078,18.812647802720154,tail_45m,0.0
370,13,253,9.193508328300783,2.925157855275283,14.934859260922803,6.412341313641523,18.120570965263276,tail_30m,0.03557312252964427
370,13,253,9.193508328300783,2.925157855275283,14.934859260922803,6.412341313641523,18.120570965263276,tail_45m,0.02766798418972332
571,16,221,10.343985693054906,-8.732570251215728,11.879016322944436,10.130831150474965,17.797266348905456,tail_30m,0.0
571,16,221,10.343985693054906,-8.732570251215728,11.879016322944436,10.130831150474965,17.797266348905456,tail_45m,0.0
370,17,223,9.97549926177504,-5.231277946905006,12.68911975301319,9.003760570750345,17.657806185539254,tail_30m,0.02242152466367713
370,17,223,9.97549926177504,-5.231277946905006,12.68911975301319,9.003760570750345,17.657806185539254,tail_45m,0.008968609865470852
408,12,233,7.583746767312469,3.9929115808239803,10.285014018482231,5.513403554127088,17.657556632617922,tail_30m,0.017167381974248927
408,12,233,7.583746767312469,3.9929115808239803,10.285014018482231,5.513403554127088,17.657556632617922,tail_45m,0.0
97,8,307,7.570275952496858,4.799660838095982,9.980999092812516,5.58226224197789,16.9803139417412,tail_30m,0.009771986970684038
97,8,307,7.570275952496858,4.799660838095982,9.980999092812516,5.58226224197789,16.9803139417412,tail_45m,0.0
383,14,202,9.809544307331372,-8.009546496517304,11.317356455120832,9.703084830291521,16.812500183263946,tail_30m,0.0
383,14,202,9.809544307331372,-8.009546496517304,11.317356455120832,9.703084830291521,16.812500183263946,tail_45m,0.0
383,13,227,9.057999976133164,-5.497668704299924,10.64762514335751,8.757342638331163,16.677157135195717,tail_30m,0.0
383,13,227,9.057999976133164,-5.497668704299924,10.64762514335751,8.757342638331163,16.677157135195717,tail_45m,0.0
571,15,231,8.647186309742976,-3.015321512949658,11.176457419334804,7.104455940043827,16.381387523246005,tail_30m,0.017316017316017316
571,15,231,8.647186309742976,-3.015321512949658,11.176457419334804,7.104455940043827,16.381387523246005,tail_45m,0.004329004329004329
