items_qty_total_all_decile,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
9,13960,8.989157223222179,1.208890426198654,14.101513330170366,6.371249081801384,18.342784070722967,tail_30m,0.03459885386819484
9,13960,8.989157223222179,1.208890426198654,14.101513330170366,6.371249081801384,18.342784070722967,tail_45m,0.014111747851002865
8,11589,8.394153413042694,0.21922079298365107,12.334235976642479,6.091657623344563,17.07480956489146,tail_30m,0.02743981361636034
8,11589,8.394153413042694,0.21922079298365107,12.334235976642479,6.091657623344563,17.07480956489146,tail_45m,0.011131245146259384
7,16803,8.298834014650843,0.2438084511845536,12.513621323375942,6.037243179070025,16.82041707483016,tail_30m,0.027316550615961437
7,16803,8.298834014650843,0.2438084511845536,12.513621323375942,6.037243179070025,16.82041707483016,tail_45m,0.01136701779444147
6,12564,8.220782712100718,0.34750812466750813,12.39211432359068,6.007615052919569,16.541548416263232,tail_30m,0.026026743075453676
6,12564,8.220782712100718,0.34750812466750813,12.39211432359068,6.007615052919569,16.541548416263232,tail_45m,0.011222540592168099
5,12914,8.03428160441385,0.1036601101248885,11.986627196804244,5.930015022236324,16.086644988475268,tail_30m,0.02323060244695679
5,12914,8.03428160441385,0.1036601101248885,11.986627196804244,5.930015022236324,16.086644988475268,tail_45m,0.00921480563729286
4,15140,7.905499680459967,0.09004919802808849,11.666869767428192,5.938519827814979,16.021486840838964,tail_30m,0.02166446499339498
4,15140,7.905499680459967,0.09004919802808849,11.666869767428192,5.938519827814979,16.021486840838964,tail_45m,0.008850726552179656
3,15327,7.843701151566969,0.3348750629962605,11.881106973324068,5.726969275908491,15.825886029425858,tail_30m,0.02505382658054414
3,15327,7.843701151566969,0.3348750629962605,11.881106973324068,5.726969275908491,15.825886029425858,tail_45m,0.00887323024727605
1,13647,7.5745278264054345,0.9191497147499703,11.590358574665103,5.432615648009325,15.440592430580844,tail_30m,0.022862167509342713
1,13647,7.5745278264054345,0.9191497147499703,11.590358574665103,5.432615648009325,15.440592430580844,tail_45m,0.009819007840551036
2,16328,7.644636392252113,0.2910022591893484,11.506581533407042,5.635212045808455,15.361019202189134,tail_30m,0.022231749142577167
2,16328,7.644636392252113,0.2910022591893484,11.506581533407042,5.635212045808455,15.361019202189134,tail_45m,0.008023027927486525
0,22171,7.078315633904968,0.8668464750224215,10.674741223804437,5.145405752159231,14.3137011922962,tail_30m,0.018718145324974064
0,22171,7.078315633904968,0.8668464750224215,10.674741223804437,5.145405752159231,14.3137011922962,tail_45m,0.006494970907942808
