point_id,hour,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_2,_abs
406,13,215,15.538105853496697,4.850201101000915,26.86224540535416,8.431434868806079,44.03168868573393,tail_30m,0.12093023255813953
406,13,215,15.538105853496697,4.850201101000915,26.86224540535416,8.431434868806079,44.03168868573393,tail_45m,0.10232558139534884
292,9,200,12.396346962996313,8.379310310081193,21.87885190940571,5.702884055498798,36.70835624690388,tail_30m,0.125
292,9,200,12.396346962996313,8.379310310081193,21.87885190940571,5.702884055498798,36.70835624690388,tail_45m,0.065
406,14,228,16.64636701525354,5.578680943929298,30.70093319939961,9.190230698343134,32.94956672402622,tail_30m,0.11403508771929824
406,14,228,16.64636701525354,5.578680943929298,30.70093319939961,9.190230698343134,32.94956672402622,tail_45m,0.07456140350877193
456,16,200,15.226220242090728,5.046514099232283,21.38858810871755,10.780865185264858,32.68726430192356,tail_30m,0.115
456,16,200,15.226220242090728,5.046514099232283,21.38858810871755,10.780865185264858,32.68726430192356,tail_45m,0.065
5,15,243,13.099928210050896,9.658966558603758,19.05053421580104,8.001975335172855,32.68140369419738,tail_30m,0.12345679012345678
5,15,243,13.099928210050896,9.658966558603758,19.05053421580104,8.001975335172855,32.68140369419738,tail_45m,0.02880658436213992
456,14,219,13.31614759248265,5.112946147965295,18.82858044937601,9.981821418022982,29.69017891341588,tail_30m,0.1004566210045662
456,14,219,13.31614759248265,5.112946147965295,18.82858044937601,9.981821418022982,29.69017891341588,tail_45m,0.0410958904109589
406,15,204,14.86273571179982,2.1719411153882096,23.44340317283623,10.406758669225653,28.51578785919452,tail_30m,0.08823529411764706
406,15,204,14.86273571179982,2.1719411153882096,23.44340317283623,10.406758669225653,28.51578785919452,tail_45m,0.05392156862745098
456,15,246,12.725938731174,4.744332487783939,18.472991280359963,8.457301136464165,27.91635476111126,tail_30m,0.08943089430894309
456,15,246,12.725938731174,4.744332487783939,18.472991280359963,8.457301136464165,27.91635476111126,tail_45m,0.044715447154471545
333,7,202,10.74313734713583,4.331731807388959,14.980284989192565,7.188298900182668,27.21947031873347,tail_30m,0.07425742574257425
333,7,202,10.74313734713583,4.331731807388959,14.980284989192565,7.188298900182668,27.21947031873347,tail_45m,0.009900990099009901
589,14,204,12.448793677152915,4.883898106024512,18.594083733896415,8.448175868420682,26.971216850473937,tail_30m,0.09313725490196079
589,14,204,12.448793677152915,4.883898106024512,18.594083733896415,8.448175868420682,26.971216850473937,tail_45m,0.049019607843137254
62,17,269,11.01135062776531,6.964926361276954,15.089065920729594,7.743117074942564,26.035952311213087,tail_30m,0.05947955390334572
62,17,269,11.01135062776531,6.964926361276954,15.089065920729594,7.743117074942564,26.035952311213087,tail_45m,0.01486988847583643
399,15,203,12.142761555677216,5.214795284547598,15.486732694930904,9.53830232183807,25.84504527447559,tail_30m,0.06403940886699508
399,15,203,12.142761555677216,5.214795284547598,15.486732694930904,9.53830232183807,25.84504527447559,tail_45m,0.0049261083743842365
276,13,213,10.552408959377551,4.80271458356339,14.978306382838642,7.3400095271469965,25.611046094254398,tail_30m,0.07511737089201878
276,13,213,10.552408959377551,4.80271458356339,14.978306382838642,7.3400095271469965,25.611046094254398,tail_45m,0.014084507042253521
62,15,308,11.8109271923157,7.630866205621068,16.84155650667649,7.984795546207641,25.381243636876935,tail_30m,0.08116883116883117
62,15,308,11.8109271923157,7.630866205621068,16.84155650667649,7.984795546207641,25.381243636876935,tail_45m,0.02922077922077922
5,14,249,11.944662085212052,9.022273336383499,17.00291370463678,9.2773270029058,25.337870332926535,tail_30m,0.0642570281124498
5,14,249,11.944662085212052,9.022273336383499,17.00291370463678,9.2773270029058,25.337870332926535,tail_45m,0.012048192771084338
440,14,212,10.670624821574664,6.934799149230334,14.754330234279614,7.563695753076404,24.817255558461277,tail_30m,0.07547169811320754
440,14,212,10.670624821574664,6.934799149230334,14.754330234279614,7.563695753076404,24.817255558461277,tail_45m,0.0047169811320754715
448,14,296,12.419930108741136,-4.521183143005198,15.521197810884953,11.197436417475785,23.894563069976016,tail_30m,0.04391891891891892
448,14,296,12.419930108741136,-4.521183143005198,15.521197810884953,11.197436417475785,23.894563069976016,tail_45m,0.010135135135135136
276,12,206,10.550696804084513,3.791883417102162,16.684497517348127,7.769286671421565,23.76737547674596,tail_30m,0.04854368932038835
276,12,206,10.550696804084513,3.791883417102162,16.684497517348127,7.769286671421565,23.76737547674596,tail_45m,0.0048543689320388345
448,13,346,12.805679950207228,-0.41597859016955835,16.921141187525706,11.255332259400902,23.634875018031426,tail_30m,0.04046242774566474
448,13,346,12.805679950207228,-0.41597859016955835,16.921141187525706,11.255332259400902,23.634875018031426,tail_45m,0.017341040462427744
481,15,204,10.61542007048967,4.390657287777907,15.50508028844483,7.447585139926138,23.50005128567619,tail_30m,0.06372549019607843
481,15,204,10.61542007048967,4.390657287777907,15.50508028844483,7.447585139926138,23.50005128567619,tail_45m,0.04411764705882353
62,16,286,10.928806323422176,6.754940620623937,14.78598938125375,8.133887245589076,23.173389966456988,tail_30m,0.06293706293706294
62,16,286,10.928806323422176,6.754940620623937,14.78598938125375,8.133887245589076,23.173389966456988,tail_45m,0.013986013986013986
589,13,215,10.563390226900781,4.048903157186052,15.575251433067525,7.233430956638166,22.981829036968666,tail_30m,0.07906976744186046
589,13,215,10.563390226900781,4.048903157186052,15.575251433067525,7.233430956638166,22.981829036968666,tail_45m,0.023255813953488372
385,15,207,10.871036134468731,-2.027961039476945,13.408044922599572,9.309817414797923,22.348053768660158,tail_30m,0.024154589371980676
