hour,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
6,3329,9.454696228997054,0.8326481889595773,14.837134196935075,6.611848950856533,19.803262415391256,tail_30m,0.03484529888855512
6,3329,9.454696228997054,0.8326481889595773,14.837134196935075,6.611848950856533,19.803262415391256,tail_45m,0.01622108741363773
5,1961,8.949683083214511,2.109456587120326,13.618062146844935,6.31224045077515,19.09110410010377,tail_30m,0.03518612952575217
5,1961,8.949683083214511,2.109456587120326,13.618062146844935,6.31224045077515,19.09110410010377,tail_45m,0.016828148903620603
15,16770,8.988916762374819,0.1735890590581432,12.997829382110378,6.654346952647732,18.231103825343617,tail_30m,0.032081097197376264
15,16770,8.988916762374819,0.1735890590581432,12.997829382110378,6.654346952647732,18.231103825343617,tail_45m,0.01282051282051282
14,17585,8.856346168964071,0.559547456306901,13.21869988595555,6.483825393130971,17.774084256364297,tail_30m,0.032015922661359116
14,17585,8.856346168964071,0.559547456306901,13.21869988595555,6.483825393130971,17.774084256364297,tail_45m,0.013647995450668183
1,423,8.094351772047068,0.2785730285646835,10.863356073749362,6.15938489165859,17.14078007578835,tail_30m,0.018912529550827423
1,423,8.094351772047068,0.2785730285646835,10.863356073749362,6.15938489165859,17.14078007578835,tail_45m,0.0
13,16199,8.394129151671645,0.9250315577820071,12.769029721317763,6.019195138154235,17.10008884854038,tail_30m,0.028705475646644853
13,16199,8.394129151671645,0.9250315577820071,12.769029721317763,6.019195138154235,17.10008884854038,tail_45m,0.011790851287116488
16,14054,8.386904945539072,-0.3754774099786921,12.20729844883076,6.319006407115527,17.025490236144602,tail_30m,0.02340970542194393
16,14054,8.386904945539072,-0.3754774099786921,12.20729844883076,6.319006407115527,17.025490236144602,tail_45m,0.008823110858118686
7,5407,8.08192291248879,0.4202243168000496,12.47769190325956,5.682826521008074,16.83533990592882,tail_30m,0.025522470871093026
7,5407,8.08192291248879,0.4202243168000496,12.47769190325956,5.682826521008074,16.83533990592882,tail_45m,0.007767708525984835
17,10431,7.591220738678718,-0.17022198540892322,10.790560789541638,5.815974408092792,15.553538836344401,tail_30m,0.01725625539257981
17,10431,7.591220738678718,-0.17022198540892322,10.790560789541638,5.815974408092792,15.553538836344401,tail_45m,0.005081008532259611
8,7381,7.571664124891875,1.1139591055577145,11.574764532473916,5.468081397173194,15.168232255467764,tail_30m,0.02303210947026148
8,7381,7.571664124891875,1.1139591055577145,11.574764532473916,5.468081397173194,15.168232255467764,tail_45m,0.009619292778756266
12,13766,7.49376161317042,0.7125262149451159,11.20669425224297,5.522386158068409,14.928636693607269,tail_30m,0.022664535812872293
12,13766,7.49376161317042,0.7125262149451159,11.20669425224297,5.522386158068409,14.928636693607269,tail_45m,0.007409559784977481
4,1015,7.491207028434262,2.295395441845709,13.13658686519049,4.926769007699214,14.76518008941514,tail_30m,0.03251231527093596
4,1015,7.491207028434262,2.295395441845709,13.13658686519049,4.926769007699214,14.76518008941514,tail_45m,0.011822660098522168
9,9018,7.2201529974130985,0.8501625782587935,11.944592964354605,5.120773962401432,13.869873033024158,tail_30m,0.023175870481259703
9,9018,7.2201529974130985,0.8501625782587935,11.944592964354605,5.120773962401432,13.869873033024158,tail_45m,0.009758261255267244
11,11679,7.0706311647112035,0.6535309238995409,11.013127772598788,5.231361488925643,13.705778677296673,tail_30m,0.018837229214830036
11,11679,7.0706311647112035,0.6535309238995409,11.013127772598788,5.231361488925643,13.705778677296673,tail_45m,0.008134258070040243
10,10213,7.074460905433136,0.5522646290731544,11.169616191986515,5.152268160922219,13.55627696875834,tail_30m,0.02134534416919612
10,10213,7.074460905433136,0.5522646290731544,11.169616191986515,5.152268160922219,13.55627696875834,tail_45m,0.009693527856653285
2,643,7.176002477688024,2.078482912096632,12.14410043595897,5.058762281888324,13.45089315647701,tail_30m,0.026438569206842923
2,643,7.176002477688024,2.078482912096632,12.14410043595897,5.058762281888324,13.45089315647701,tail_45m,0.015552099533437015
18,6821,6.520008437793156,-0.5139061464648396,9.057167832424966,5.145892629276052,13.353420360756072,tail_30m,0.008503152030494062
18,6821,6.520008437793156,-0.5139061464648396,9.057167832424966,5.145892629276052,13.353420360756072,tail_45m,0.002052484972877877
3,776,6.729386716864537,1.8707530404910357,11.67857164179073,4.733397645456586,12.99654183179782,tail_30m,0.01804123711340206
3,776,6.729386716864537,1.8707530404910357,11.67857164179073,4.733397645456586,12.99654183179782,tail_45m,0.010309278350515464
19,2659,5.953859216168866,0.5567907726440395,8.696213706594467,4.379114446793832,12.053914630304174,tail_30m,0.010530274539300489
19,2659,5.953859216168866,0.5567907726440395,8.696213706594467,4.379114446793832,12.053914630304174,tail_45m,0.00188040616773223
20,208,5.297980098654829,-0.4158684269297245,8.0770625700251,3.33667858973347,11.184816951481913,tail_30m,0.009615384615384616
20,208,5.297980098654829,-0.4158684269297245,8.0770625700251,3.33667858973347,11.184816951481913,tail_45m,0.0
