items_unique_all_decile,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
0,17598,9.521828062478672,-4.235507787079155,12.89112650313698,7.652511826988059,19.252777777777787,tail_30m,0.025741561541084215
0,17598,9.521828062478672,-4.235507787079155,12.89112650313698,7.652511826988059,19.252777777777787,tail_45m,0.005682463916354131
3,37745,9.191775284905075,-1.7806710282303462,13.36675325648888,6.895652173913042,18.854660560344826,tail_30m,0.03030865015233806
3,37745,9.191775284905075,-1.7806710282303462,13.36675325648888,6.895652173913042,18.854660560344826,tail_45m,0.010279507219499271
5,15345,8.912343419815437,-0.22919254433982938,12.997737388038757,6.471698113207548,18.821044546851002,tail_30m,0.02945584881068752
5,15345,8.912343419815437,-0.22919254433982938,12.997737388038757,6.471698113207548,18.821044546851002,tail_45m,0.010492016943629848
7,13148,8.830249058908906,1.5834720525522674,13.11482892957817,6.3105419753806675,18.779301587301592,tail_30m,0.03095527836933374
7,13148,8.830249058908906,1.5834720525522674,13.11482892957817,6.3105419753806675,18.779301587301592,tail_45m,0.011104350471554609
2,22430,9.027112936400533,-1.9362642948564321,12.985674152113022,6.740048569316863,18.721501710654948,tail_30m,0.02915737851092287
2,22430,9.027112936400533,-1.9362642948564321,12.985674152113022,6.740048569316863,18.721501710654948,tail_45m,0.009050378956754347
4,18588,9.05099565799397,-0.7564824577351139,13.428616002867281,6.59053651266766,18.617021276595743,tail_30m,0.032655476651603184
4,18588,9.05099565799397,-0.7564824577351139,13.428616002867281,6.59053651266766,18.617021276595743,tail_45m,0.012050785452980417
1,16335,9.023071110866479,-2.2233318517997507,12.687785309052625,6.794871794871796,18.576315300241678,tail_30m,0.028160391796755432
1,16335,9.023071110866479,-2.2233318517997507,12.687785309052625,6.794871794871796,18.576315300241678,tail_45m,0.008815426997245178
6,9254,8.827995351616366,0.26614814797541875,13.100709368021002,6.411376973303579,18.465678941311875,tail_30m,0.03144586124918954
6,9254,8.827995351616366,0.26614814797541875,13.100709368021002,6.411376973303579,18.465678941311875,tail_45m,0.01080613788631943
