delivery_method,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
courier,120301,8.233430478521372,0.7051402838541682,12.54208550964055,5.930556664546124,16.71969487261469,tail_30m,0.028195941845869942
courier,120301,8.233430478521372,0.7051402838541682,12.54208550964055,5.930556664546124,16.71969487261469,tail_45m,0.01126341426920807
pickup,25946,6.735987556820408,1.1293450062936157,9.995393991716556,4.996484741452038,13.679822980123562,tail_30m,0.014491636475757342
pickup,25946,6.735987556820408,1.1293450062936157,9.995393991716556,4.996484741452038,13.679822980123562,tail_45m,0.004470824019116627
hall,4196,5.534585105432937,2.1268276088836027,8.473861335734398,4.057832941525016,11.241704102825238,tail_30m,0.008341277407054338
hall,4196,5.534585105432937,2.1268276088836027,8.473861335734398,4.057832941525016,11.241704102825238,tail_45m,0.004051477597712107
