order_id,point_id,city_id,delivery_method,delivery_at_client,weekday,hour,is_weekend,items_qty_total_all,items_lines_all,items_unique_all,point_hour,items_qty_total_all_log1p,items_qty_total_all_sq,items_qty_x_unique,y_true,y_pred,abs_err,err
40258429,94,65,courier,0,4,16,0,7,4,4,94__16,2.0794415,49.0,28.0,131.0,24.829428752608653,106.17057124739135,106.17057124739135
40257127,94,65,courier,0,4,15,0,4,4,3,94__15,1.609438,16.0,12.0,128.0,22.178448978780853,105.82155102121915,105.82155102121915
40400587,585,33,pickup,0,2,7,0,17,10,7,585__7,2.8903718,289.0,119.0,136.0,30.25036328305044,105.74963671694957,105.74963671694957
38980406,25,20,courier,0,1,18,0,5,4,3,25__18,1.7917595,25.0,15.0,165.0,59.28378388851279,105.71621611148721,105.71621611148721
40180302,456,44,courier,0,5,8,1,6,6,6,456__8,1.9459101,36.0,36.0,135.0,29.328890538989647,105.67110946101036,105.67110946101036
40337130,606,98,courier,0,4,11,0,8,6,5,606__11,2.1972246,64.0,40.0,128.0,22.796774263640483,105.20322573635951,105.20322573635951
38980484,25,20,courier,0,1,18,0,9,6,5,25__18,2.3025851,81.0,45.0,165.0,59.8717830767104,105.1282169232896,105.1282169232896
40334711,574,123,courier,0,4,6,0,8,6,6,574__6,2.1972246,64.0,48.0,136.0,31.448608711704196,104.5513912882958,104.5513912882958
40340049,312,98,courier,0,4,12,0,21,8,6,312__12,3.0910425,441.0,126.0,130.0,25.693141699777243,104.30685830022276,104.30685830022276
40048510,5,6,pickup,0,6,15,1,1,1,1,5__15,0.6931472,1.0,1.0,122.0,17.70123627362421,104.2987637263758,104.2987637263758
40331255,627,233,courier,0,2,12,0,5,3,3,627__12,1.7917595,25.0,15.0,127.0,23.076663144631237,103.92333685536876,103.92333685536876
39281075,3,4,courier,0,5,19,1,3,3,3,3__19,1.3862944,9.0,9.0,127.0,23.436966485793974,103.56303351420603,103.56303351420603
38655154,447,49,courier,0,2,16,0,9,5,5,447__16,2.3025851,81.0,45.0,145.0,41.473705819118926,103.52629418088108,103.52629418088108
40334739,574,123,courier,0,4,6,0,9,7,6,574__6,2.3025851,81.0,54.0,134.0,30.561873342988267,103.43812665701174,103.43812665701174
40336758,606,98,courier,0,4,11,0,7,7,7,606__11,2.0794415,49.0,49.0,126.0,22.71464215993192,103.28535784006809,103.28535784006809
40380566,388,127,courier,0,0,13,0,5,5,5,388__13,1.7917595,25.0,25.0,138.0,35.37666015909191,102.62333984090809,102.62333984090809
40353696,406,16,courier,0,5,13,1,6,5,5,406__13,1.9459101,36.0,30.0,132.0,30.18007372303375,101.81992627696624,101.81992627696624
40321718,252,1,courier,0,2,3,0,6,6,5,252__3,1.9459101,36.0,30.0,127.0,25.21993437188542,101.78006562811458,101.78006562811458
39281083,3,4,courier,0,5,19,1,7,5,5,3__19,2.0794415,49.0,35.0,124.0,22.345563479950865,101.65443652004913,101.65443652004913
40255620,94,65,courier,0,4,14,0,6,6,5,94__14,1.9459101,36.0,30.0,127.0,25.629852451777833,101.37014754822216,101.37014754822216
40255432,94,65,courier,0,4,14,0,13,10,10,94__14,2.6390574,169.0,130.0,129.0,28.045508598462824,100.95449140153718,100.95449140153718
38699154,348,80,courier,0,6,9,1,14,6,6,348__9,2.7080503,196.0,84.0,128.0,27.34623135366608,100.65376864633392,100.65376864633392
40331917,98,1,pickup,0,2,13,0,13,8,8,98__13,2.6390574,169.0,104.0,133.0,32.661272431053646,100.33872756894635,100.33872756894635
40248228,292,102,courier,0,4,9,0,8,6,4,292__9,2.1972246,64.0,32.0,124.0,23.992847432271006,100.007152567729,100.007152567729
40302319,87,54,courier,0,0,15,0,13,8,6,87__15,2.6390574,169.0,78.0,130.0,31.024848280150675,98.97515171984932,98.97515171984932
40148855,591,1,pickup,0,2,11,0,7,7,7,591__11,2.0794415,49.0,49.0,119.0,20.2380830692492,98.7619169307508,98.7619169307508
40355718,406,16,courier,0,5,14,1,9,9,8,406__14,2.3025851,81.0,72.0,130.0,31.290258981092848,98.70974101890715,98.70974101890715
40375273,557,23,courier,0,0,8,0,10,7,7,557__8,2.3978953,100.0,70.0,134.0,35.34351299065387,98.65648700934614,98.65648700934614
40336556,606,98,courier,0,4,11,0,6,5,5,606__11,1.9459101,36.0,30.0,125.0,26.40510294432384,98.59489705567616,98.59489705567616
40337830,304,75,courier,0,4,10,0,13,6,6,304__10,2.6390574,169.0,78.0,124.0,25.54371674773598,98.45628325226402,98.45628325226402
40308033,284,27,pickup,0,1,7,0,28,10,6,284__7,3.3672957,784.0,168.0,148.0,49.61764955999428,98.38235044000572,98.38235044000572
40250276,591,1,pickup,0,4,11,0,6,5,5,591__11,1.9459101,36.0,30.0,120.0,21.70895612509004,98.29104387490996,98.29104387490996
