items_unique_all_decile,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
7,13148,8.2329415093361,0.695819463680627,12.272612603796231,6.0504713699686175,16.87605050392576,tail_30m,0.027304533008822636
7,13148,8.2329415093361,0.695819463680627,12.272612603796231,6.0504713699686175,16.87605050392576,tail_45m,0.010039549741405538
6,9254,8.216493808030112,0.4133689279932,12.298276408749409,5.942319836429809,16.710994650542077,tail_30m,0.026042792306029825
6,9254,8.216493808030112,0.4133689279932,12.298276408749409,5.942319836429809,16.710994650542077,tail_45m,0.010157769613140263
5,15345,8.143238976305133,0.3276179920471872,12.120995989041216,5.988708140664329,16.64018217295031,tail_30m,0.024112088628217662
5,15345,8.143238976305133,0.3276179920471872,12.120995989041216,5.988708140664329,16.64018217295031,tail_45m,0.009775171065493646
4,18588,8.127402722814402,0.4861830414302902,12.540383827498907,5.819655349762083,16.33878448905974,tail_30m,0.0267376802238003
4,18588,8.127402722814402,0.4861830414302902,12.540383827498907,5.819655349762083,16.33878448905974,tail_45m,0.012050785452980417
3,37745,8.11573435221129,0.17376284182853152,12.353722976816243,5.975276590558401,16.199062951194186,tail_30m,0.025009935090740495
3,37745,8.11573435221129,0.17376284182853152,12.353722976816243,5.975276590558401,16.199062951194186,tail_45m,0.01017353291826732
2,22430,7.8657181244911465,0.45415453494437275,11.871180427354195,5.717845100466615,16.046318417408493,tail_30m,0.024609897458760587
2,22430,7.8657181244911465,0.45415453494437275,11.871180427354195,5.717845100466615,16.046318417408493,tail_45m,0.009094962104324564
1,16335,7.6642646516436805,0.8260125649285701,11.520229470272058,5.516496885155814,15.760584326191427,tail_30m,0.023262932353841446
1,16335,7.6642646516436805,0.8260125649285701,11.520229470272058,5.516496885155814,15.760584326191427,tail_45m,0.009488827670645853
0,17598,7.16127400301407,0.8496069266437709,10.803904971419323,5.190940280610229,14.54189130619118,tail_30m,0.019661325150585295
0,17598,7.16127400301407,0.8496069266437709,10.803904971419323,5.190940280610229,14.54189130619118,tail_45m,0.006421184225480168
