items_qty_total_all_decile,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
9,13960,9.57483090314703,2.6990777045469088,14.989862026722596,6.473143475126172,20.52321105072464,tail_30m,0.04183381088825215
9,13960,9.57483090314703,2.6990777045469088,14.989862026722596,6.473143475126172,20.52321105072464,tail_45m,0.016117478510028652
8,11589,8.987936121323104,0.3761391069127727,13.14047587502718,6.385714285714286,19.454792826221396,tail_30m,0.03227198205194581
8,11589,8.987936121323104,0.3761391069127727,13.14047587502718,6.385714285714286,19.454792826221396,tail_45m,0.011648977478643541
7,16803,8.999703818241924,-0.23682216187577979,13.264933831611701,6.514851485148515,19.006837606837617,tail_30m,0.03243468428256859
7,16803,8.999703818241924,-0.23682216187577979,13.264933831611701,6.514851485148515,19.006837606837617,tail_45m,0.011783610069630423
0,22171,9.333372292658918,-4.339461215572359,12.584607781974329,7.520408163265305,18.811764705882354,tail_30m,0.023183437824184746
0,22171,9.333372292658918,-4.339461215572359,12.584607781974329,7.520408163265305,18.811764705882354,tail_45m,0.005592891615172973
6,12564,9.074414849681538,-0.8243522002296264,13.293403111960126,6.641450711382114,18.59009009009009,tail_30m,0.031757402101241644
6,12564,9.074414849681538,-0.8243522002296264,13.293403111960126,6.641450711382114,18.59009009009009,tail_45m,0.011222540592168099
4,15140,8.961182495001681,-1.7924221253550932,12.727111744533275,6.780086206896552,18.421200889547816,tail_30m,0.0274108322324967
4,15140,8.961182495001681,-1.7924221253550932,12.727111744533275,6.780086206896552,18.421200889547816,tail_45m,0.00891677675033025
2,16328,9.019735380258645,-2.586337302677123,12.74223137330969,6.950524475524475,18.41667050425973,tail_30m,0.026518863302302794
2,16328,9.019735380258645,-2.586337302677123,12.74223137330969,6.950524475524475,18.41667050425973,tail_45m,0.007900538951494366
1,13647,8.942539844124218,-2.4083918160187716,12.746094016126733,6.7627118644067785,18.40900721128497,tail_30m,0.02667252876089983
1,13647,8.942539844124218,-2.4083918160187716,12.746094016126733,6.7627118644067785,18.40900721128497,tail_45m,0.008500036638088957
5,12914,8.893258331857057,-1.2952994764678325,12.901255238942603,6.662020398251579,18.404545454545467,tail_30m,0.02865107635124671
5,12914,8.893258331857057,-1.2952994764678325,12.901255238942603,6.662020398251579,18.404545454545467,tail_45m,0.009369676320272573
3,15327,8.961373885861747,-1.847861509516006,12.969916356091302,6.666666666666668,18.33711346974505,tail_30m,0.03066483982514517
3,15327,8.961373885861747,-1.847861509516006,12.969916356091302,6.666666666666668,18.33711346974505,tail_45m,0.009264696287597051
