items_unique_all_decile,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
7,13148,8.305467976013702,0.539174889173867,12.355752283316612,6.106237128105958,16.938302768323656,tail_30m,0.027608761788865226
7,13148,8.305467976013702,0.539174889173867,12.355752283316612,6.106237128105958,16.938302768323656,tail_45m,0.010115606936416185
6,9254,8.246120888826358,0.43934906564339665,12.349308431049257,5.974312596179507,16.719333884604946,tail_30m,0.026691160579208992
6,9254,8.246120888826358,0.43934906564339665,12.349308431049257,5.974312596179507,16.719333884604946,tail_45m,0.010481953749729846
5,15345,8.142921638830112,0.42587867493901366,12.138214401722728,5.978260065572705,16.661095686608792,tail_30m,0.024242424242424242
5,15345,8.142921638830112,0.42587867493901366,12.138214401722728,5.978260065572705,16.661095686608792,tail_45m,0.009710003258390356
4,18588,8.09901519530425,0.7054769530477143,12.569320261278335,5.770800367552173,16.239914242062362,tail_30m,0.0275984506132989
4,18588,8.09901519530425,0.7054769530477143,12.569320261278335,5.770800367552173,16.239914242062362,tail_45m,0.012212179901011404
3,37745,8.051440543165835,0.5186629365448038,12.36127423294085,5.876033120903919,16.08761696196635,tail_30m,0.02556630017220824
3,37745,8.051440543165835,0.5186629365448038,12.36127423294085,5.876033120903919,16.08761696196635,tail_45m,0.010385481520731222
2,22430,7.805169409035878,0.875993151968044,11.899291852666787,5.634981209399616,15.948106687168544,tail_30m,0.025546143557735178
2,22430,7.805169409035878,0.875993151968044,11.899291852666787,5.634981209399616,15.948106687168544,tail_45m,0.009317877842175658
1,16335,7.5994447353483,1.3641321678806262,11.55926390000293,5.364862406187374,15.727760539126985,tail_30m,0.024058769513314968
1,16335,7.5994447353483,1.3641321678806262,11.55926390000293,5.364862406187374,15.727760539126985,tail_45m,0.009794918885827977
0,17598,7.067220519256964,1.7469801114184043,10.859256551380597,4.973673751924418,14.625764123014035,tail_30m,0.021422888964655076
0,17598,7.067220519256964,1.7469801114184043,10.859256551380597,4.973673751924418,14.625764123014035,tail_45m,0.006875781338788499
