weekday,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
4,22418,8.93286438911199,0.9096493830671618,13.847682852419505,6.257724556390165,18.20038168826857,tail_30m,0.03684539209563743
4,22418,8.93286438911199,0.9096493830671618,13.847682852419505,6.257724556390165,18.20038168826857,tail_45m,0.016995271656704433
2,18472,8.26788819846955,1.0994056277158435,13.079990881253428,5.808525563886656,16.71454254245533,tail_30m,0.030045474231268948
2,18472,8.26788819846955,1.0994056277158435,13.079990881253428,5.808525563886656,16.71454254245533,tail_45m,0.01201818969250758
1,20920,7.809705811653432,1.0605784802931026,11.975642038200432,5.557138933435189,16.04834486030613,tail_30m,0.0247131931166348
1,20920,7.809705811653432,1.0605784802931026,11.975642038200432,5.557138933435189,16.04834486030613,tail_45m,0.009894837476099426
5,26741,7.832665297723265,-0.2568615531017656,11.539458693287386,5.891201223132445,15.76023786079326,tail_30m,0.020156314273961334
5,26741,7.832665297723265,-0.2568615531017656,11.539458693287386,5.891201223132445,15.76023786079326,tail_45m,0.007479151864178602
0,19865,7.530579493274295,0.9170653730899254,11.069891622886654,5.461722707446821,15.51453169206884,tail_30m,0.021595771457337026
0,19865,7.530579493274295,0.9170653730899254,11.069891622886654,5.461722707446821,15.51453169206884,tail_45m,0.007853007802668009
3,17642,7.608117581772328,0.5615272242323908,11.211694281939568,5.592598248224786,15.351282846835302,tail_30m,0.023466727128443488
3,17642,7.608117581772328,0.5615272242323908,11.211694281939568,5.592598248224786,15.351282846835302,tail_45m,0.008672486112685637
6,24385,7.572586476053303,-0.4886279725382626,11.144924719803964,5.784950279393154,15.146568582558343,tail_30m,0.01677260611031372
6,24385,7.572586476053303,-0.4886279725382626,11.144924719803964,5.784950279393154,15.146568582558343,tail_45m,0.005618207914701661
