point_hour,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
406__13,215,15.664376866453932,3.8940540900520224,26.498375669466572,9.44678924590518,42.62813388474649,tail_30m,0.12093023255813953
406__13,215,15.664376866453932,3.8940540900520224,26.498375669466572,9.44678924590518,42.62813388474649,tail_45m,0.09767441860465116
292__9,200,12.19524414872916,7.554371348875335,21.34803769366579,5.650566049047068,36.456434228297745,tail_30m,0.13
292__9,200,12.19524414872916,7.554371348875335,21.34803769366579,5.650566049047068,36.456434228297745,tail_45m,0.065
406__14,228,16.813316026262388,4.3668724667949474,30.462509113027075,9.745509610483863,32.154362625123525,tail_30m,0.11403508771929824
406__14,228,16.813316026262388,4.3668724667949474,30.462509113027075,9.745509610483863,32.154362625123525,tail_45m,0.07456140350877193
5__15,243,12.893301148567101,9.051447210668496,18.706319788193742,8.056242895589207,32.07640207120445,tail_30m,0.12345679012345678
5__15,243,12.893301148567101,9.051447210668496,18.706319788193742,8.056242895589207,32.07640207120445,tail_45m,0.0205761316872428
456__16,200,15.241873076494203,4.513113408348895,21.235750330452255,11.2296299040231,31.803354805051946,tail_30m,0.12
456__16,200,15.241873076494203,4.513113408348895,21.235750330452255,11.2296299040231,31.803354805051946,tail_45m,0.065
456__14,219,13.148379016788915,4.77618188442208,18.6218689637821,10.004878268544534,29.551420056775665,tail_30m,0.1004566210045662
456__14,219,13.148379016788915,4.77618188442208,18.6218689637821,10.004878268544534,29.551420056775665,tail_45m,0.0365296803652968
456__15,246,12.752650420822846,4.129422290224009,18.29879985128044,8.155981832481814,27.198582036355084,tail_30m,0.08536585365853659
456__15,246,12.752650420822846,4.129422290224009,18.29879985128044,8.155981832481814,27.198582036355084,tail_45m,0.044715447154471545
333__7,202,10.83514497151692,3.8068563935626814,14.877283829517614,7.841563729113476,26.988147129674022,tail_30m,0.06930693069306931
333__7,202,10.83514497151692,3.8068563935626814,14.877283829517614,7.841563729113476,26.988147129674022,tail_45m,0.009900990099009901
406__15,204,14.959115569703167,1.0136425107660012,23.171577085536644,11.147456945354481,26.84668576961225,tail_30m,0.08823529411764706
406__15,204,14.959115569703167,1.0136425107660012,23.171577085536644,11.147456945354481,26.84668576961225,tail_45m,0.05392156862745098
589__14,204,12.464382604428025,3.944096319214815,18.320079478094726,9.256910236771473,26.361264461078584,tail_30m,0.08333333333333333
589__14,204,12.464382604428025,3.944096319214815,18.320079478094726,9.256910236771473,26.361264461078584,tail_45m,0.049019607843137254
276__13,213,10.554932208165189,4.599450176216221,14.938397437083877,7.6497660491336354,26.201028856229616,tail_30m,0.07511737089201878
276__13,213,10.554932208165189,4.599450176216221,14.938397437083877,7.6497660491336354,26.201028856229616,tail_45m,0.014084507042253521
399__15,203,11.822622066875823,4.59818953818524,15.009494636342838,9.261128402133785,25.602741415175352,tail_30m,0.059113300492610835
399__15,203,11.822622066875823,4.59818953818524,15.009494636342838,9.261128402133785,25.602741415175352,tail_45m,0.0049261083743842365
62__17,269,10.842761808346692,6.519110712189883,14.909049381144587,7.5761735468344575,25.357264137377538,tail_30m,0.05947955390334572
62__17,269,10.842761808346692,6.519110712189883,14.909049381144587,7.5761735468344575,25.357264137377538,tail_45m,0.01486988847583643
5__14,249,11.65491617983024,8.51415895918588,16.67765323718675,8.861764818829378,25.210317724816427,tail_30m,0.0642570281124498
5__14,249,11.65491617983024,8.51415895918588,16.67765323718675,8.861764818829378,25.210317724816427,tail_45m,0.012048192771084338
440__14,212,10.652152931586404,6.762994024399936,14.713383454558304,7.343616093107762,24.66965737417966,tail_30m,0.07075471698113207
440__14,212,10.652152931586404,6.762994024399936,14.713383454558304,7.343616093107762,24.66965737417966,tail_45m,0.0047169811320754715
448__14,296,13.000776858080265,-5.652583996885572,15.96668902480291,12.260032374928429,24.453185434237003,tail_30m,0.04391891891891892
448__14,296,13.000776858080265,-5.652583996885572,15.96668902480291,12.260032374928429,24.453185434237003,tail_45m,0.010135135135135136
62__15,308,11.542722880141582,7.063909877883974,16.438678802622512,7.918060135471999,24.329287179457182,tail_30m,0.07792207792207792
62__15,308,11.542722880141582,7.063909877883974,16.438678802622512,7.918060135471999,24.329287179457182,tail_45m,0.02922077922077922
276__12,206,10.515557031252529,3.624485424551371,16.634176392357407,7.9302678679016765,23.32349873550366,tail_30m,0.043689320388349516
276__12,206,10.515557031252529,3.624485424551371,16.634176392357407,7.9302678679016765,23.32349873550366,tail_45m,0.009708737864077669
