delivery_method,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
courier,120301,8.258444310554944,0.4653431470432961,12.508888033770248,5.983513305028062,16.77009261137648,tail_30m,0.02742288094030806
courier,120301,8.258444310554944,0.4653431470432961,12.508888033770248,5.983513305028062,16.77009261137648,tail_45m,0.011047289714964962
pickup,25946,6.829390844971889,0.4821745713466197,9.972949989911005,5.189057343155106,13.723724113563947,tail_30m,0.01379788792106683
pickup,25946,6.829390844971889,0.4821745713466197,9.972949989911005,5.189057343155106,13.723724113563947,tail_45m,0.004316657673629847
hall,4196,5.6230081853717335,0.8904514052389886,8.408171378512288,4.1398055297812775,11.469111381912672,tail_30m,0.0076263107721639654
hall,4196,5.6230081853717335,0.8904514052389886,8.408171378512288,4.1398055297812775,11.469111381912672,tail_45m,0.003574833174451859
