hour,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
6,3329,9.498909641383372,1.2362289003947615,14.935717623154266,6.60196545337341,20.38858888926388,tail_30m,0.03634725142685491
6,3329,9.498909641383372,1.2362289003947615,14.935717623154266,6.60196545337341,20.38858888926388,tail_45m,0.016821868428957644
5,1961,8.975764303397074,2.4821252978689796,13.773693580256968,6.148339748503563,19.26872616294252,tail_30m,0.038755736868944415
5,1961,8.975764303397074,2.4821252978689796,13.773693580256968,6.148339748503563,19.26872616294252,tail_45m,0.016828148903620603
15,16770,8.910590464858366,0.6330517948384882,13.030955870595927,6.4970604864810415,18.246848861699355,tail_30m,0.03392963625521765
15,16770,8.910590464858366,0.6330517948384882,13.030955870595927,6.4970604864810415,18.246848861699355,tail_45m,0.01282051282051282
14,17585,8.80136287376396,0.9629285026858942,13.26063782057659,6.376546707090252,17.738135957566197,tail_30m,0.03298265567244811
14,17585,8.80136287376396,0.9629285026858942,13.26063782057659,6.376546707090252,17.738135957566197,tail_45m,0.01393232868922377
1,423,8.213056332434133,0.5079575191478857,11.044457538619492,6.318927282850659,17.525758010264106,tail_30m,0.02364066193853428
1,423,8.213056332434133,0.5079575191478857,11.044457538619492,6.318927282850659,17.525758010264106,tail_45m,0.0
13,16199,8.35209644826221,1.2818555471045732,12.78257942865535,5.93940145740709,17.023937044303803,tail_30m,0.028828940058028274
13,16199,8.35209644826221,1.2818555471045732,12.78257942865535,5.93940145740709,17.023937044303803,tail_45m,0.012222976726958453
16,14054,8.309840213924726,0.05564343719810113,12.212058291952602,6.190285357326257,16.814600732807726,tail_30m,0.02433470897964992
16,14054,8.309840213924726,0.05564343719810113,12.212058291952602,6.190285357326257,16.814600732807726,tail_45m,0.009250035577059912
7,5407,8.077072290465958,0.7158626064607793,12.566746047111007,5.640081169573033,16.78832481195354,tail_30m,0.026447198076567414
7,5407,8.077072290465958,0.7158626064607793,12.566746047111007,5.640081169573033,16.78832481195354,tail_45m,0.007767708525984835
4,1015,7.626200782053421,2.5439860881149987,13.440681671273353,4.930746829035206,15.471166572677273,tail_30m,0.03645320197044335
4,1015,7.626200782053421,2.5439860881149987,13.440681671273353,4.930746829035206,15.471166572677273,tail_45m,0.01083743842364532
17,10431,7.520155860690743,0.17782290736787623,10.772403310670082,5.697168777250187,15.401300597610142,tail_30m,0.017543859649122806
17,10431,7.520155860690743,0.17782290736787623,10.772403310670082,5.697168777250187,15.401300597610142,tail_45m,0.005272744703288275
8,7381,7.581961041269972,1.3947026369168276,11.64745181071104,5.407550457783152,15.3972832653131,tail_30m,0.023438558460913157
8,7381,7.581961041269972,1.3947026369168276,11.64745181071104,5.407550457783152,15.3972832653131,tail_45m,0.01016122476629183
12,13766,7.4592961503059705,1.0192139681587415,11.229409477887465,5.457573751005599,14.948629027136185,tail_30m,0.022955106784832195
12,13766,7.4592961503059705,1.0192139681587415,11.229409477887465,5.457573751005599,14.948629027136185,tail_45m,0.00726427429899753
9,9018,7.2005445034025355,1.087781811300498,11.992809540735395,5.04287707999293,13.965194829656346,tail_30m,0.02339764914615214
9,9018,7.2005445034025355,1.087781811300498,11.992809540735395,5.04287707999293,13.965194829656346,tail_45m,0.010201818585052118
11,11679,7.049034177628048,0.893366868801197,11.03076339998664,5.141591455672465,13.83495241254987,tail_30m,0.019008476753146673
11,11679,7.049034177628048,0.893366868801197,11.03076339998664,5.141591455672465,13.83495241254987,tail_45m,0.008476753146673517
2,643,7.217697639450314,2.2828655549888692,12.143816734608626,5.084716593594116,13.716820197289138,tail_30m,0.026438569206842923
2,643,7.217697639450314,2.2828655549888692,12.143816734608626,5.084716593594116,13.716820197289138,tail_45m,0.017107309486780714
10,10213,7.055754129543488,0.7841564830641025,11.17895148524148,5.0441921925163875,13.699467293318436,tail_30m,0.022128659551551945
10,10213,7.055754129543488,0.7841564830641025,11.17895148524148,5.0441921925163875,13.699467293318436,tail_45m,0.009595613433858808
18,6821,6.472055898445324,-0.23091401670094572,9.054434155969856,5.01785274079948,13.271897777709722,tail_30m,0.008942970238967894
18,6821,6.472055898445324,-0.23091401670094572,9.054434155969856,5.01785274079948,13.271897777709722,tail_45m,0.002199091042369154
3,776,6.693526677434839,2.0635553887318676,11.737022080303689,4.39379951974405,12.808685958163288,tail_30m,0.01804123711340206
3,776,6.693526677434839,2.0635553887318676,11.737022080303689,4.39379951974405,12.808685958163288,tail_45m,0.010309278350515464
20,208,5.231835747483282,-0.07612665237076038,8.065648519746526,3.1964008780177284,12.461080734918056,tail_30m,0.009615384615384616
20,208,5.231835747483282,-0.07612665237076038,8.065648519746526,3.1964008780177284,12.461080734918056,tail_45m,0.0
19,2659,5.940615939114356,0.7837913805950153,8.7247643650863,4.34727502115685,12.120303364334353,tail_30m,0.011282437006393382
19,2659,5.940615939114356,0.7837913805950153,8.7247643650863,4.34727502115685,12.120303364334353,tail_45m,0.00188040616773223
