point_id,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
25,270,34.249378962276325,22.402143069436804,47.75565853833621,22.789941020540624,84.12815108517968,tail_30m,0.4
25,270,34.249378962276325,22.402143069436804,47.75565853833621,22.789941020540624,84.12815108517968,tail_45m,0.25925925925925924
388,513,17.935885020408048,11.239660521005455,25.760536968642395,10.997523415884782,45.92857617282112,tail_30m,0.2046783625730994
388,513,17.935885020408048,11.239660521005455,25.760536968642395,10.997523415884782,45.92857617282112,tail_45m,0.10721247563352826
674,582,15.494700848068558,8.475869199260261,23.917445074171166,9.437207152796892,42.80011523998796,tail_30m,0.140893470790378
674,582,15.494700848068558,8.475869199260261,23.917445074171166,9.437207152796892,42.80011523998796,tail_45m,0.09621993127147767
375,214,16.26064377101934,9.071890650805267,21.86465814517805,12.57602414602773,39.10565732039096,tail_30m,0.14953271028037382
375,214,16.26064377101934,9.071890650805267,21.86465814517805,12.57602414602773,39.10565732039096,tail_45m,0.06542056074766354
617,386,15.297931848708865,9.631640679000252,22.36252408957781,9.591692087685207,38.6787536159227,tail_30m,0.14248704663212436
617,386,15.297931848708865,9.631640679000252,22.36252408957781,9.591692087685207,38.6787536159227,tail_45m,0.06735751295336788
265,364,15.989241937816589,10.607118235385947,23.011778731492992,10.573005101466144,37.94644114061204,tail_30m,0.14835164835164835
265,364,15.989241937816589,10.607118235385947,23.011778731492992,10.573005101466144,37.94644114061204,tail_45m,0.07417582417582418
87,930,14.796457324885813,8.03699025514534,21.97416919138174,9.86973777337903,33.963629457750336,tail_30m,0.11397849462365592
87,930,14.796457324885813,8.03699025514534,21.97416919138174,9.86973777337903,33.963629457750336,tail_45m,0.06129032258064516
389,620,11.849348585413273,9.193160172406806,17.045296412693247,7.837970662648132,28.759585342985478,tail_30m,0.0967741935483871
389,620,11.849348585413273,9.193160172406806,17.045296412693247,7.837970662648132,28.759585342985478,tail_45m,0.037096774193548385
344,998,11.470195977684098,8.676787751358818,16.254775589874527,7.594014389693983,27.775460920817267,tail_30m,0.08016032064128256
344,998,11.470195977684098,8.676787751358818,16.254775589874527,7.594014389693983,27.775460920817267,tail_45m,0.02004008016032064
94,1032,12.592732516140481,8.23567104891492,20.43959203293497,7.863350786445034,27.644595976510153,tail_30m,0.08914728682170543
94,1032,12.592732516140481,8.23567104891492,20.43959203293497,7.863350786445034,27.644595976510153,tail_45m,0.04844961240310078
629,687,11.449602845620898,5.383924524765099,17.74207691958708,7.704403890935865,27.072425011438916,tail_30m,0.08733624454148471
629,687,11.449602845620898,5.383924524765099,17.74207691958708,7.704403890935865,27.072425011438916,tail_45m,0.023289665211062592
47,1238,12.404470149187185,4.973611609764607,18.308903902203987,8.79367318062392,26.72233189972093,tail_30m,0.07108239095315025
47,1238,12.404470149187185,4.973611609764607,18.308903902203987,8.79367318062392,26.72233189972093,tail_45m,0.036348949919224556
322,496,12.690629612951101,3.1042948833060713,17.057094649349565,10.200662272724124,26.08852211356058,tail_30m,0.06854838709677419
322,496,12.690629612951101,3.1042948833060713,17.057094649349565,10.200662272724124,26.08852211356058,tail_45m,0.024193548387096774
320,324,12.632323061807716,-1.4166956428522304,15.944134414042272,10.706319890945514,24.675968392091647,tail_30m,0.07098765432098765
320,324,12.632323061807716,-1.4166956428522304,15.944134414042272,10.706319890945514,24.675968392091647,tail_45m,0.012345679012345678
284,426,12.406830811218722,1.1696611361838438,17.24095866773139,9.686791411426801,24.179125605608206,tail_30m,0.06103286384976526
284,426,12.406830811218722,1.1696611361838438,17.24095866773139,9.686791411426801,24.179125605608206,tail_45m,0.025821596244131457
254,747,8.614192078341393,5.7741606367072364,13.470099231808549,4.762708120197457,23.823909031758305,tail_30m,0.0535475234270415
254,747,8.614192078341393,5.7741606367072364,13.470099231808549,4.762708120197457,23.823909031758305,tail_45m,0.0214190093708166
312,734,11.850957084290933,3.73168615356418,19.15958299962738,8.043167822593595,23.780752779119055,tail_30m,0.08038147138964577
312,734,11.850957084290933,3.73168615356418,19.15958299962738,8.043167822593595,23.780752779119055,tail_45m,0.04223433242506812
641,802,10.56606222796536,7.035426797114479,14.574728559699404,7.582855918077179,23.726840458083466,tail_30m,0.05610972568578554
641,802,10.56606222796536,7.035426797114479,14.574728559699404,7.582855918077179,23.726840458083466,tail_45m,0.008728179551122194
246,483,11.610525045897742,-0.1228603911727846,14.564091102877526,9.9123336188471,23.50731540547948,tail_30m,0.043478260869565216
246,483,11.610525045897742,-0.1228603911727846,14.564091102877526,9.9123336188471,23.50731540547948,tail_45m,0.0
242,339,10.158099916814974,3.596691655565036,13.681227777382944,7.500301847749828,23.41882124735617,tail_30m,0.05604719764011799
242,339,10.158099916814974,3.596691655565036,13.681227777382944,7.500301847749828,23.41882124735617,tail_45m,0.0029498525073746312
406,1771,13.248522484830062,1.2116521994559817,22.77452354952237,8.641794281247016,22.893652982158223,tail_30m,0.07396950875211744
406,1771,13.248522484830062,1.2116521994559817,22.77452354952237,8.641794281247016,22.893652982158223,tail_45m,0.05251270468661773
292,1541,10.183522702204058,5.46390568303136,18.237547108546647,5.754639387129863,22.85126376856641,tail_30m,0.06748864373783257
292,1541,10.183522702204058,5.46390568303136,18.237547108546647,5.754639387129863,22.85126376856641,tail_45m,0.036340038935756006
625,479,9.863832685506084,5.552190668958408,13.350879017191797,7.194442512591522,22.693188271321226,tail_30m,0.04592901878914405
625,479,9.863832685506084,5.552190668958408,13.350879017191797,7.194442512591522,22.693188271321226,tail_45m,0.0041753653444676405
